step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
43,11.335,18.0781,3.995,-0.009,-0.09,2.467,0.010,4.000,0.000,-0.0228,-0.1177,0.016,0.000,0.199,0.027,100.287
44,11.585,27.1295,4.118,-0.008,-0.03,2.445,0.020,4.100,0.000,-0.0109,0.1363,0.038,0.000,0.199,0.037,99.973
45,11.835,15.2898,4.240,-0.008,0.00,2.424,0.041,4.200,0.000,0.0158,-0.1565,0.012,0.000,0.199,0.042,50.352
46,12.084,26.0802,4.362,-0.008,-0.03,2.423,0.039,4.400,0.000,-0.0065,0.1300,0.037,0.000,0.199,0.041,99.773
47,12.385,15.5884,4.483,-0.008,-0.05,2.422,0.019,4.500,0.000,-0.0000,0.0938,0.034,0.000,0.199,0.044,100.245
48,12.584,15.2158,4.605,-0.008,-0.04,2.434,0.009,4.600,0.000,0.0289,-0.0670,0.020,0.000,0.199,0.045,49.002
49,12.835,15.8734,4.727,-0.008,-0.03,2.443,0.028,4.700,0.000,0.0032,0.0494,0.031,0.000,0.199,0.035,50.062
50,13.085,14.0529,4.849,-0.007,-0.01,2.441,0.049,4.800,0.000,0.0206,0.1614,0.041,0.000,0.199,0.027,99.758
51,13.335,15.8157,4.971,-0.006,0.02,2.446,0.030,5.000,0.000,0.0066,0.0784,0.033,0.000,0.199,0.019,50.405
52,13.584,13.8994,5.093,-0.005,0.05,2.464,0.009,5.100,0.000,-0.0377,0.0706,0.033,0.000,0.199,0.015,99.775
53,13.835,13.7660,5.216,-0.004,0.08,2.475,0.017,5.200,0.000,-0.0187,-0.0349,0.023,0.000,0.200,0.013,50.748
54,14.085,13.8668,5.340,-0.005,0.06,2.470,0.040,5.300,0.000,-0.0542,-0.1274,0.015,0.000,0.200,0.006,100.073
55,14.335,13.9686,5.463,-0.006,0.02,2.455,0.038,5.500,0.000,-0.1019,-0.1992,0.009,0.000,0.200,-0.007,50.168
56,14.534,14.2173,5.585,-0.008,-0.06,2.429,0.017,5.600,0.000,-0.0824,-0.2636,0.003,0.000,0.200,-0.022,50.212
57,14.784,16.0273,5.705,-0.011,-0.15,2.390,0.012,5.700,0.000,-0.0952,-0.3961,0.000,0.009,0.200,-0.029,50.333
58,14.984,14.5779,5.823,-0.015,-0.29,2.337,0.027,5.800,0.000,-0.1514,-0.2545,0.003,0.000,0.200,-0.044,50.188
59,15.234,16.0889,5.938,-0.020,-0.46,2.291,0.043,5.900,0.000,-0.1497,-0.4720,0.000,0.017,0.200,-0.044,50.374
60,15.434,15.0645,6.051,-0.027,-0.66,2.225,0.056,6.100,0.000,-0.1473,-0.2530,0.002,0.000,0.200,-0.031,50.041
61,15.684,14.7525,6.161,-0.035,-0.90,2.175,0.052,6.200,0.000,-0.1724,-0.2156,0.005,0.000,0.199,-0.007,50.008
62,15.884,15.3018,6.269,-0.044,-1.18,2.139,0.054,6.300,0.000,-0.1522,-0.1692,0.009,0.000,0.199,0.002,50.227
63,16.135,14.1529,6.374,-0.055,-1.48,2.085,0.061,6.400,0.000,-0.1360,0.0317,0.026,0.000,0.199,-0.001,50.207
64,16.335,14.8333,6.477,-0.067,-1.82,2.056,0.070,6.500,0.000,-0.1030,0.1043,0.033,0.000,0.199,-0.011,50.471
65,16.635,15.2550,6.580,-0.079,-2.15,2.068,0.081,6.600,0.000,-0.1114,0.0081,0.024,0.000,0.199,-0.001,100.679
66,16.834,16.0449,6.683,-0.091,-2.45,2.091,0.092,6.700,0.000,-0.1330,0.0971,0.032,0.000,0.199,0.018,49.987
67,17.084,14.2254,6.787,-0.102,-2.70,2.103,0.103,6.800,0.000,-0.1357,0.3027,0.051,0.000,0.199,0.026,50.233
68,17.285,16.2303,6.892,-0.115,-2.95,2.110,0.115,6.900,0.000,-0.1162,0.0099,0.025,0.000,0.200,0.009,50.042
69,17.535,15.6231,6.997,-0.129,-3.26,2.127,0.129,7.000,0.000,-0.0786,0.2599,0.047,0.000,0.201,-0.006,50.284
70,17.784,15.1395,7.103,-0.143,-3.59,2.145,0.143,7.100,0.000,-0.0699,0.1435,0.037,0.000,0.201,-0.014,100.030
71,18.035,14.6247,7.211,-0.156,-3.86,2.177,0.157,7.200,0.000,-0.0994,0.1423,0.037,0.000,0.201,0.006,50.556
72,18.285,13.9757,7.320,-0.169,-4.05,2.209,0.170,7.300,0.000,-0.0791,0.3546,0.056,0.000,0.201,0.025,99.745
73,18.534,15.7721,7.431,-0.182,-4.21,2.234,0.185,7.400,0.000,-0.0480,0.3291,0.055,0.000,0.201,0.033,50.449
74,18.735,14.1466,7.543,-0.196,-4.41,2.276,0.200,7.500,0.000,-0.0255,0.2294,0.046,0.000,0.201,0.017,50.271
75,19.035,14.4938,7.657,-0.209,-4.61,2.325,0.213,7.700,0.000,-0.0061,0.1618,0.040,0.000,0.201,-0.002,100.989
76,19.285,15.1628,7.773,-0.221,-4.74,2.365,0.223,7.800,0.000,0.0001,0.0686,0.032,0.000,0.201,-0.023,100.395
77,19.535,15.8267,7.891,-0.232,-4.79,2.385,0.232,7.900,0.000,0.0251,0.0969,0.035,0.000,0.201,-0.029,50.442
78,19.735,15.5890,8.010,-0.242,-4.80,2.399,0.243,8.000,0.000,0.0185,0.0724,0.033,0.000,0.201,-0.042,50.178
79,20.035,16.9142,8.130,-0.252,-4.78,2.408,0.254,8.100,0.000,0.0671,0.2746,0.051,0.000,0.200,-0.037,100.498
80,20.235,17.6727,8.250,-0.261,-4.75,2.423,0.265,8.300,0.000,0.0001,0.0235,0.029,0.000,0.200,-0.031,50.497
81,20.485,14.8443,8.372,-0.269,-4.69,2.451,0.270,8.400,0.000,0.0860,0.1124,0.037,0.000,0.200,-0.023,50.347
82,20.684,15.8836,8.494,-0.277,-4.63,2.458,0.277,8.500,0.000,0.0466,-0.0122,0.026,0.000,0.201,-0.025,50.120
83,20.934,13.9756,8.617,-0.286,-4.59,2.463,0.286,8.600,0.000,0.0903,0.1819,0.043,0.000,0.201,-0.029,50.090
84,21.134,14.0208,8.740,-0.293,-4.52,2.470,0.295,8.700,0.000,0.0580,0.0216,0.029,0.000,0.200,-0.029,50.294
85,21.435,14.6152,8.864,-0.299,-4.41,2.488,0.301,8.900,0.000,0.0880,0.0364,0.031,0.000,0.200,-0.023,100.066
86,21.635,15.8637,8.989,-0.304,-4.25,2.495,0.304,9.000,0.000,0.0800,-0.2780,0.003,0.000,0.200,-0.014,50.469
87,21.884,14.7679,9.114,-0.308,-4.07,2.483,0.309,9.100,0.000,0.0775,0.0027,0.027,0.000,0.199,-0.011,50.390
88,22.085,15.1658,9.238,-0.311,-3.87,2.455,0.314,9.200,0.000,0.0935,-0.1044,0.018,0.000,0.199,-0.001,50.328
89,22.334,13.9615,9.360,-0.313,-3.66,2.447,0.316,9.400,0.000,0.0704,-0.0366,0.024,0.000,0.199,0.013,49.858
90,22.535,15.3579,9.483,-0.315,-3.44,2.438,0.315,9.500,0.000,0.1125,0.0568,0.032,0.000,0.199,0.019,50.148
91,22.784,14.6493,9.605,-0.316,-3.22,2.432,0.316,9.600,0.000,0.0833,0.0411,0.031,0.000,0.199,0.029,50.179
92,22.985,13.9141,9.727,-0.317,-3.02,2.444,0.318,9.700,0.000,0.0950,-0.0362,0.024,0.000,0.199,0.024,50.150
93,23.234,15.4468,9.849,-0.317,-2.80,2.448,0.321,9.800,0.000,0.0757,-0.0260,0.025,0.000,0.199,0.032,50.264
94,23.484,13.8286,9.972,-0.316,-2.56,2.445,0.317,10.000,0.000,0.0765,0.0404,0.031,0.000,0.199,0.035,99.943
95,23.735,15.2478,10.094,-0.315,-2.33,2.437,0.315,10.100,0.000,0.1018,0.1287,0.038,0.000,0.199,0.038,50.440
96,23.935,15.0127,10.216,-0.314,-2.12,2.443,0.315,10.200,0.000,0.0644,-0.0560,0.022,0.000,0.199,0.032,50.046
97,24.185,13.7435,10.338,-0.312,-1.92,2.459,0.315,10.300,0.000,0.0959,-0.0526,0.022,0.000,0.199,0.036,50.167
98,24.384,14.9510,10.461,-0.311,-1.71,2.448,0.313,10.500,0.000,0.0570,-0.0739,0.020,0.000,0.199,0.035,50.047
99,24.634,14.2286,10.583,-0.309,-1.51,2.434,0.309,10.600,0.000,0.1149,-0.2222,0.007,0.000,0.199,0.033,50.346
100,24.835,14.3498,10.704,-0.307,-1.33,2.405,0.307,10.700,0.000,0.1468,-0.3785,0.000,0.007,0.199,0.022,50.281
101,25.084,15.2622,10.824,-0.305,-1.17,2.361,0.306,10.800,0.000,0.1364,-0.5292,0.000,0.021,0.199,0.014,50.167
102,25.285,16.7645,10.941,-0.301,-0.97,2.313,0.304,10.900,0.000,0.1957,-0.5306,0.000,0.022,0.198,-0.007,50.216
103,25.535,16.0172,11.056,-0.296,-0.73,2.263,0.300,11.100,0.000,0.1624,-0.6044,0.000,0.029,0.197,-0.010,50.303
