step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
0,3.305,3283.5484,-0.001,0.000,0.01,0.000,0.001,0.000,0.000,-0.0009,0.4243,0.038,0.000,0.197,0.000
1,6.964,3631.3888,-0.001,0.000,0.01,0.000,0.001,0.000,0.000,-0.0037,0.7440,0.067,0.000,0.197,0.004
2,10.486,3495.5980,6.511,-0.016,-0.23,2.629,0.020,6.500,0.000,-0.0940,0.6588,0.060,0.000,0.200,0.027
3,14.165,3645.2411,19.842,-0.340,-2.21,4.808,1.087,19.486,0.686,0.1316,0.2444,0.024,0.000,0.199,-0.003
