step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
43,200.938,4468.2114,4.239,0.010,0.10,2.620,0.040,4.200,0.000,-0.0003,-0.0380,0.031,0.000,0.199,0.050,99.965
44,205.888,4720.0729,4.370,0.011,0.12,2.618,0.032,4.400,0.000,0.0036,-0.0218,0.032,0.000,0.199,0.048,100.653
45,211.039,4861.6659,4.502,0.012,0.12,2.621,0.012,4.500,0.000,-0.0094,-0.0501,0.030,0.000,0.199,0.043,100.040
46,215.838,4594.4756,4.633,0.012,0.12,2.625,0.035,4.600,0.000,0.0008,-0.0384,0.031,0.000,0.200,0.038,100.198
47,220.788,4669.7872,4.765,0.012,0.12,2.625,0.037,4.800,0.000,0.0078,-0.0662,0.028,0.000,0.200,0.023,100.054
48,225.539,4536.9792,4.896,0.012,0.10,2.627,0.013,4.900,0.000,0.0053,-0.1298,0.023,0.000,0.200,0.008,99.876
49,230.539,4733.3624,5.028,0.013,0.11,2.627,0.031,5.000,0.000,-0.0064,-0.1241,0.023,0.000,0.200,0.001,100.376
50,235.189,4445.5238,5.159,0.014,0.13,2.617,0.043,5.200,0.000,-0.0387,-0.2577,0.011,0.000,0.200,-0.000,100.146
51,240.089,4602.8778,5.289,0.014,0.14,2.598,0.018,5.300,0.000,-0.0944,-0.3142,0.006,0.000,0.200,-0.001,100.170
52,244.939,4627.9463,5.418,0.013,0.11,2.565,0.023,5.400,0.000,-0.1157,-0.4598,0.000,0.008,0.200,-0.009,100.056
53,249.739,4524.8696,5.545,0.012,0.04,2.517,0.047,5.500,0.000,-0.1401,-0.4620,0.000,0.008,0.200,-0.014,100.144
54,254.539,4575.6138,5.670,0.009,-0.08,2.459,0.032,5.700,0.000,-0.1556,-0.4714,0.000,0.010,0.200,-0.013,99.873
55,259.239,4399.5713,5.791,0.004,-0.24,2.398,0.010,5.800,0.000,-0.1652,-0.4185,0.000,0.006,0.200,-0.012,100.082
56,264.139,4672.1143,5.910,-0.003,-0.44,2.339,0.010,5.900,0.000,-0.1709,-0.3475,0.000,0.000,0.200,-0.001,100.588
57,268.739,4314.2269,6.025,-0.010,-0.69,2.292,0.027,6.000,0.000,-0.1812,-0.2743,0.006,0.000,0.199,-0.003,100.444
58,274.539,5557.8012,6.138,-0.020,-0.98,2.246,0.043,6.100,0.000,-0.1895,-0.2136,0.011,0.000,0.199,0.007,100.297
59,280.889,6065.7476,6.249,-0.031,-1.30,2.189,0.058,6.200,0.000,-0.1949,-0.1716,0.015,0.000,0.199,0.017,100.000
60,286.839,5722.4042,6.358,-0.043,-1.66,2.159,0.060,6.400,0.000,-0.1928,-0.0809,0.022,0.000,0.199,0.008,100.206
61,291.789,4723.6156,6.465,-0.057,-2.05,2.139,0.067,6.500,0.000,-0.1783,-0.0294,0.027,0.000,0.199,0.010,49.913
62,296.589,4554.5592,6.571,-0.072,-2.47,2.129,0.078,6.600,0.000,-0.1619,0.0644,0.035,0.000,0.199,0.013,100.319
63,301.389,4552.4134,6.677,-0.089,-2.91,2.138,0.092,6.700,0.000,-0.1512,0.1122,0.039,0.000,0.200,0.019,50.331
64,306.189,4592.7332,6.783,-0.106,-3.33,2.161,0.107,6.800,0.000,-0.1402,0.1221,0.041,0.000,0.199,0.012,100.028
65,310.889,4486.8602,6.891,-0.122,-3.72,2.189,0.123,6.900,0.000,-0.1385,0.1656,0.045,0.000,0.200,-0.002,50.412
66,315.639,4570.2636,7.000,-0.140,-4.07,2.219,0.140,7.000,0.000,-0.1245,0.1535,0.044,0.000,0.200,-0.014,50.286
67,320.439,4583.6585,7.111,-0.157,-4.43,2.243,0.158,7.100,0.000,-0.1209,0.1188,0.041,0.000,0.201,-0.024,50.306
68,325.089,4472.4308,7.222,-0.175,-4.77,2.268,0.176,7.200,0.000,-0.0906,0.1431,0.043,0.000,0.201,-0.008,50.273
69,329.889,4582.1433,7.335,-0.193,-5.09,2.292,0.196,7.300,0.000,-0.0465,0.1770,0.046,0.000,0.201,-0.001,50.287
70,334.639,4564.9111,7.450,-0.211,-5.38,2.327,0.216,7.400,0.000,-0.0259,0.1203,0.041,0.000,0.201,-0.004,50.216
71,339.540,4667.9943,7.566,-0.227,-5.60,2.363,0.230,7.600,0.000,-0.0099,0.1152,0.041,0.000,0.201,0.003,50.075
72,344.240,4510.6846,7.684,-0.243,-5.75,2.387,0.243,7.700,0.000,0.0080,0.0886,0.039,0.000,0.200,0.007,50.056
73,349.190,4735.3919,7.804,-0.257,-5.83,2.413,0.257,7.800,0.000,0.0242,0.1162,0.041,0.000,0.200,0.008,49.847
74,353.890,4546.2959,7.925,-0.270,-5.86,2.439,0.271,7.900,0.000,0.0478,0.0665,0.037,0.000,0.200,0.016,50.330
75,358.540,4414.8385,8.048,-0.282,-5.83,2.465,0.286,8.000,0.000,0.0648,0.0555,0.036,0.000,0.200,0.013,50.301
