step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
46,2.145,1.9070,3.701,0.010,0.22,2.652,0.010,3.700,0.000,-0.0064,-0.2457,0.016,0.000,0.198,0.009
47,2.186,1.9541,3.806,0.009,0.18,2.629,0.011,3.800,0.000,-0.0040,-0.1896,0.021,0.000,0.198,-0.025
48,2.225,1.9331,3.911,0.009,0.13,2.611,0.014,3.900,0.000,-0.0029,-0.1765,0.021,0.000,0.199,-0.040
49,2.266,2.0543,4.014,0.008,0.09,2.592,0.017,4.000,0.000,-0.0015,-0.1549,0.023,0.000,0.199,-0.004
50,2.306,3.7744,4.118,0.008,0.07,2.580,0.020,4.100,0.000,-0.0019,-0.0963,0.028,0.000,0.198,0.045
51,2.345,1.9516,4.222,0.008,0.06,2.580,0.023,4.200,0.000,0.0027,-0.1209,0.026,0.000,0.198,0.032
52,2.386,1.9704,4.325,0.008,0.06,2.581,0.026,4.300,0.000,-0.0038,-0.1199,0.026,0.000,0.198,0.001
53,2.425,1.9553,4.426,0.008,0.06,2.578,0.028,4.400,0.000,-0.0031,-0.1319,0.025,0.000,0.199,-0.036
54,2.466,2.0314,4.529,0.009,0.06,2.574,0.030,4.500,0.000,0.0025,-0.1028,0.027,0.000,0.199,-0.009
55,2.505,2.3018,4.632,0.009,0.05,2.559,0.033,4.600,0.000,-0.0052,-0.0559,0.031,0.000,0.200,0.031
56,2.545,2.1054,4.735,0.009,0.04,2.556,0.036,4.700,0.000,-0.0056,-0.0999,0.027,0.000,0.199,0.039
57,2.585,2.0675,4.837,0.009,0.04,2.565,0.038,4.800,0.000,-0.0152,-0.1314,0.024,0.000,0.199,0.006
58,2.626,1.9960,4.939,0.009,0.04,2.564,0.040,4.900,0.000,-0.0125,-0.1618,0.021,0.000,0.200,-0.030
59,2.665,2.2641,5.042,0.008,0.02,2.557,0.042,5.000,0.000,-0.0182,-0.1792,0.020,0.000,0.200,-0.021
60,2.706,2.3295,5.144,0.007,-0.01,2.535,0.044,5.100,0.000,-0.0232,-0.2582,0.012,0.000,0.200,0.022
61,2.744,2.1981,5.245,0.006,-0.07,2.523,0.045,5.200,0.000,-0.0325,-0.3362,0.005,0.000,0.200,0.041
62,2.786,2.2926,5.346,0.004,-0.13,2.511,0.046,5.300,0.000,-0.0399,-0.3870,0.000,0.000,0.200,0.010
