step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
35.000000,1.750000,30.401100,4.361173,-0.002521,0.008665,2.484417,0.038908,4.400000,0.000000,-0.002982,0.044970,0.000000,0.000000,0.000000,0.000000,3.064101
36.000000,1.800000,29.765800,4.485394,-0.002502,-0.005485,2.486665,0.014819,4.500000,0.000000,-0.001849,0.014864,0.000000,0.000000,0.000000,0.000000,2.944703
37.000000,1.850000,29.727400,4.609727,-0.002514,-0.014268,2.487409,0.010047,4.600000,0.000000,-0.014636,0.035098,0.000000,0.000000,0.000000,0.000000,2.825517
38.000000,1.900000,29.565500,4.734098,-0.002545,-0.083802,2.489164,0.034193,4.700000,0.000000,0.007234,-0.056839,0.000000,0.000000,0.000000,0.000000,2.706359
39.000000,1.950000,29.670400,4.858556,-0.002727,-0.049411,2.486322,0.041534,4.900000,0.000000,0.023392,0.014166,0.000000,0.000000,0.000000,0.000000,2.587928
40.000000,2.000000,29.972200,4.982872,-0.002834,0.061687,2.487030,0.017361,5.000000,0.000000,0.004663,0.091500,0.000000,0.000000,0.000000,0.000000,2.470202
41.000000,2.050000,30.086900,5.107223,-0.002700,0.083836,2.491605,0.007712,5.100000,0.000000,0.006247,0.080722,0.000000,0.000000,0.000000,0.000000,2.352401
42.000000,2.100000,30.164100,5.231803,-0.002518,0.113565,2.495641,0.031903,5.200000,0.000000,0.014415,-0.036633,0.000000,0.000000,0.000000,0.000000,2.234788
43.000000,2.150000,32.593400,5.356585,-0.002271,0.182278,2.493809,0.043474,5.400000,0.000000,-0.027892,-0.204891,0.000000,0.000000,0.000000,0.000000,2.117482
44.000000,2.200000,32.379300,5.481275,-0.001874,0.049398,2.483565,0.018818,5.500000,0.000000,-0.005851,-0.012611,0.000000,0.000000,0.000000,0.000000,2.000323
45.000000,2.250000,31.813000,5.605453,-0.001767,0.021642,2.482934,0.005732,5.600000,0.000000,-0.044901,0.091302,0.000000,0.000000,0.000000,0.000000,1.884557
46.000000,2.300000,31.068800,5.729600,-0.001720,-0.191423,2.487499,0.029650,5.700000,0.000000,-0.019559,-0.209951,0.000000,0.000000,0.000000,0.000000,1.769468
47.000000,2.350000,30.179100,5.853974,-0.002135,-0.284353,2.477002,0.046075,5.900000,0.000000,-0.056566,-0.126075,0.000000,0.000000,0.000000,0.000000,1.655281
48.000000,2.400000,29.703200,5.977823,-0.002750,-0.552238,2.470698,0.022347,6.000000,0.000000,-0.025278,0.027317,0.000000,0.000000,0.000000,0.000000,1.542887
49.000000,2.450000,29.394400,6.101352,-0.003941,-0.671543,2.472064,0.004166,6.100000,0.000000,-0.003050,0.163734,0.000000,0.000000,0.000000,0.000000,1.432006
50.000000,2.500000,29.810600,6.224947,-0.005389,-0.685945,2.480251,0.025522,6.200000,0.000000,-0.051654,-0.146110,0.000000,0.000000,0.000000,0.000000,1.322044
51.000000,2.550000,29.246200,6.348950,-0.006874,-0.930843,2.472945,0.049431,6.300000,0.000000,-0.068076,-0.010100,0.000000,0.000000,0.000000,0.000000,1.214012
52.000000,2.600000,31.227300,6.472581,-0.008883,-1.252863,2.472440,0.028822,6.500000,0.000000,-0.018471,0.204983,0.000000,0.000000,0.000000,0.000000,1.108936
53.000000,2.650000,31.323600,6.596174,-0.011586,-1.340092,2.482689,0.012201,6.600000,0.000000,-0.016038,0.025489,0.000000,0.000000,0.000000,0.000000,1.004835
54.000000,2.700000,32.026300,6.720274,-0.014489,-1.416142,2.483964,0.024919,6.700000,0.000000,-0.006388,0.265248,0.000000,0.000000,0.000000,0.000000,0.902333
55.000000,2.750000,30.243100,6.844435,-0.017558,-1.446446,2.497226,0.047778,6.800000,0.000000,0.017251,-0.021632,0.000000,0.000000,0.000000,0.000000,0.801690
56.000000,2.800000,29.609700,6.969256,-0.020710,-1.364163,2.496145,0.037069,7.000000,0.000000,-0.108442,0.133018,0.000000,0.000000,0.000000,0.000000,0.701743
