step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
43,10.736,39.3889,3.949,0.002,0.11,2.565,0.049,3.900,0.000,0.0178,-0.1393,0.032,0.000,0.199,0.006,50.122
44,10.936,37.8770,4.077,0.003,0.13,2.560,0.023,4.100,0.000,-0.0108,-0.1986,0.027,0.000,0.199,0.006,50.184
45,11.186,35.5843,4.205,0.004,0.15,2.560,0.006,4.200,0.000,-0.0320,-0.1075,0.034,0.000,0.199,0.009,50.122
46,11.386,33.9640,4.332,0.004,0.14,2.556,0.033,4.300,0.000,-0.0002,-0.1676,0.029,0.000,0.200,0.013,50.347
47,11.636,33.1125,4.460,0.003,0.10,2.558,0.040,4.500,0.000,0.0109,-0.2122,0.025,0.000,0.200,0.007,50.158
48,11.835,35.0164,4.588,0.003,0.06,2.561,0.013,4.600,0.000,-0.0183,-0.3075,0.016,0.000,0.200,-0.004,50.105
49,12.086,35.7178,4.716,0.004,0.07,2.554,0.016,4.700,0.000,-0.0120,-0.1514,0.030,0.000,0.199,0.006,50.481
50,12.286,38.5831,4.843,0.003,0.08,2.534,0.043,4.800,0.000,-0.0127,-0.2137,0.024,0.000,0.199,0.011,50.172
51,12.535,36.0669,4.969,0.003,0.06,2.527,0.031,5.000,0.000,-0.0035,-0.0213,0.041,0.000,0.199,0.007,50.262
52,12.736,36.7158,5.095,0.002,0.01,2.530,0.005,5.100,0.000,-0.0048,-0.1084,0.033,0.000,0.199,0.004,50.275
53,12.986,38.1073,5.222,0.002,-0.02,2.548,0.022,5.200,0.000,-0.0124,-0.1918,0.025,0.000,0.199,0.007,50.150
54,13.186,37.1054,5.349,0.002,-0.03,2.554,0.049,5.300,0.000,-0.0411,-0.4463,0.003,0.000,0.199,0.011,49.769
55,13.485,39.2229,5.477,0.001,-0.04,2.535,0.023,5.500,0.000,-0.0591,-0.1708,0.026,0.000,0.200,0.010,100.203
56,13.685,38.7593,5.602,-0.001,-0.09,2.495,0.002,5.600,0.000,-0.0658,-0.1235,0.030,0.000,0.200,0.005,50.610
57,13.986,43.4325,5.726,-0.003,-0.18,2.483,0.026,5.700,0.000,-0.0006,-0.3143,0.013,0.000,0.200,0.006,100.175
58,14.236,35.7074,5.850,-0.007,-0.30,2.481,0.050,5.900,0.000,-0.0887,-0.0404,0.037,0.000,0.200,-0.003,99.956
59,14.486,39.4352,5.974,-0.010,-0.40,2.474,0.028,6.000,0.000,-0.0028,-0.0773,0.034,0.000,0.199,-0.011,50.371
60,14.686,38.1809,6.098,-0.013,-0.48,2.482,0.013,6.100,0.000,-0.1063,0.0061,0.041,0.000,0.199,-0.011,50.286
61,14.936,37.9098,6.222,-0.015,-0.53,2.500,0.027,6.200,0.000,-0.0277,-0.1385,0.028,0.000,0.199,-0.017,50.297
62,15.136,37.7136,6.347,-0.018,-0.59,2.513,0.051,6.300,0.000,-0.0891,-0.4000,0.005,0.000,0.200,-0.007,49.966
63,15.386,39.5983,6.473,-0.022,-0.66,2.501,0.035,6.500,0.000,-0.0466,-0.0072,0.039,0.000,0.200,-0.014,50.300
64,15.586,38.8541,6.597,-0.026,-0.76,2.469,0.026,6.600,0.000,0.0392,0.0118,0.041,0.000,0.200,-0.020,50.249
65,15.835,41.6395,6.720,-0.031,-0.89,2.476,0.037,6.700,0.000,-0.0187,0.0624,0.046,0.000,0.200,-0.040,50.343
66,16.035,38.0650,6.845,-0.035,-0.99,2.512,0.056,6.800,0.000,-0.0697,-0.1273,0.029,0.000,0.200,-0.037,50.219
67,16.285,39.0011,6.971,-0.038,-1.02,2.534,0.048,7.000,0.000,-0.1540,0.1585,0.054,0.000,0.200,-0.019,50.211
68,16.486,39.2693,7.097,-0.043,-1.07,2.537,0.043,7.100,0.000,-0.1243,-0.3422,0.010,0.000,0.200,-0.016,50.367
69,16.786,40.5307,7.224,-0.049,-1.19,2.542,0.055,7.200,0.000,-0.2251,0.1434,0.052,0.000,0.201,-0.022,100.055
70,16.986,40.2203,7.351,-0.057,-1.37,2.524,0.075,7.400,0.000,-0.1172,0.0101,0.041,0.000,0.201,-0.023,50.239
71,17.286,39.7400,7.477,-0.066,-1.61,2.534,0.070,7.500,0.000,-0.1081,-0.1139,0.030,0.000,0.201,-0.017,100.256
72,17.486,40.5526,7.603,-0.078,-1.90,2.543,0.078,7.600,0.000,-0.1606,-0.3797,0.006,0.000,0.201,-0.017,50.232
73,17.736,38.8231,7.730,-0.091,-2.22,2.532,0.096,7.700,0.000,-0.0202,-0.1379,0.027,0.000,0.201,-0.020,50.302
74,17.935,40.1966,7.855,-0.105,-2.55,2.494,0.114,7.900,0.000,0.0301,0.0446,0.043,0.000,0.201,-0.025,50.179
75,18.186,40.1732,7.979,-0.118,-2.86,2.509,0.120,8.000,0.000,-0.0777,-0.1836,0.023,0.000,0.200,-0.025,50.243
76,18.436,38.4618,8.105,-0.129,-3.05,2.544,0.129,8.100,0.000,-0.0446,-0.0801,0.032,0.000,0.199,-0.010,100.450
77,18.686,38.4133,8.231,-0.140,-3.18,2.537,0.144,8.200,0.000,-0.0587,-0.4045,0.003,0.000,0.199,0.011,50.417
78,18.886,40.4665,8.357,-0.151,-3.31,2.520,0.157,8.400,0.000,0.0185,-0.2499,0.016,0.000,0.199,0.020,50.342
79,19.136,39.3923,8.482,-0.162,-3.47,2.485,0.163,8.500,0.000,0.0898,-0.1058,0.029,0.000,0.199,0.019,50.325
80,19.335,42.4721,8.606,-0.172,-3.60,2.480,0.172,8.600,0.000,0.1442,-0.0903,0.030,0.000,0.199,0.000,50.077
81,19.586,40.2504,8.729,-0.179,-3.63,2.497,0.181,8.700,0.000,0.2260,0.1148,0.048,0.000,0.198,0.008,50.268
82,19.786,34.6799,8.854,-0.185,-3.54,2.514,0.190,8.900,0.000,0.1079,-0.0576,0.033,0.000,0.198,0.014,50.148
83,20.036,38.2688,8.980,-0.188,-3.38,2.541,0.189,9.000,0.000,0.1089,-0.2353,0.017,0.000,0.198,0.022,50.440
84,20.236,35.0373,9.107,-0.189,-3.18,2.549,0.190,9.100,0.000,0.0803,0.0703,0.044,0.000,0.198,0.022,50.287
85,20.486,35.6368,9.234,-0.189,-2.92,2.540,0.192,9.200,0.000,0.0599,-0.0803,0.031,0.000,0.198,0.027,50.178
86,20.686,37.4805,9.362,-0.189,-2.66,2.544,0.192,9.400,0.000,0.0459,-0.0884,0.030,0.000,0.199,0.039,50.157
87,20.935,34.9963,9.489,-0.189,-2.45,2.540,0.189,9.500,0.000,-0.0139,-0.2190,0.018,0.000,0.200,0.035,50.615
88,21.136,36.8757,9.616,-0.190,-2.31,2.526,0.191,9.600,0.000,-0.1017,-0.2680,0.013,0.000,0.200,0.029,50.190
89,21.386,38.3412,9.742,-0.193,-2.23,2.493,0.197,9.700,0.000,-0.1520,-0.3386,0.007,0.000,0.201,0.020,49.879
90,21.586,43.8510,9.866,-0.199,-2.25,2.453,0.202,9.900,0.000,-0.2097,0.0799,0.043,0.000,0.201,0.009,50.499
91,21.886,35.9566,9.987,-0.207,-2.37,2.419,0.207,10.000,0.000,-0.2351,0.2453,0.058,0.000,0.201,-0.002,100.276
92,22.086,33.8105,10.108,-0.217,-2.57,2.435,0.217,10.100,0.000,-0.1154,0.1394,0.049,0.000,0.201,-0.001,50.606
93,22.336,33.9686,10.231,-0.230,-2.82,2.470,0.232,10.200,0.000,0.1432,0.0594,0.042,0.000,0.201,0.004,50.372
94,22.537,37.1112,10.354,-0.244,-3.13,2.502,0.248,10.400,0.000,0.3477,0.1866,0.054,0.000,0.201,-0.002,49.852
95,22.786,37.1808,10.479,-0.257,-3.41,2.544,0.258,10.500,0.000,0.3722,-0.1298,0.026,0.000,0.201,-0.017,50.212
96,23.036,35.1739,10.607,-0.266,-3.51,2.584,0.266,10.600,0.000,0.4078,-0.2697,0.013,0.000,0.199,-0.013,99.770
97,23.286,39.2910,10.736,-0.272,-3.41,2.586,0.274,10.700,0.000,0.4050,-0.3061,0.010,0.000,0.197,-0.000,50.232
98,23.486,39.9893,10.865,-0.273,-3.15,2.562,0.275,10.900,0.000,0.4062,-0.1968,0.019,0.000,0.196,0.009,50.249
99,23.736,35.2942,10.992,-0.269,-2.80,2.538,0.270,11.000,0.000,0.4428,0.1429,0.049,0.000,0.195,0.014,50.263
100,23.936,35.2523,11.119,-0.262,-2.34,2.540,0.263,11.100,0.000,0.4062,-0.4499,0.000,0.004,0.195,0.017,50.255
101,24.186,36.8421,11.246,-0.251,-1.76,2.553,0.255,11.200,0.000,0.4241,0.0660,0.042,0.000,0.194,0.008,49.890
102,24.436,37.5217,11.372,-0.235,-1.05,2.527,0.237,11.400,0.000,0.3753,-0.1849,0.019,0.000,0.194,-0.001,99.838
103,24.686,35.7643,11.498,-0.215,-0.26,2.505,0.215,11.500,0.000,0.3297,-0.0696,0.029,0.000,0.193,-0.011,49.724
104,24.886,39.7143,11.623,-0.191,0.60,2.485,0.193,11.600,0.000,0.2900,-0.2849,0.010,0.000,0.193,-0.021,50.148
105,25.137,37.4872,11.747,-0.164,1.54,2.481,0.171,11.700,0.000,0.0490,-0.0149,0.034,0.000,0.193,-0.015,50.329
106,25.336,33.3905,11.871,-0.136,2.44,2.478,0.139,11.900,0.000,0.1088,-0.5859,0.000,0.017,0.194,0.006,50.101
107,25.586,36.6106,11.993,-0.112,3.16,2.452,0.112,12.000,0.000,-0.1076,-0.0872,0.027,0.000,0.196,0.008,50.081
108,25.786,35.2927,12.114,-0.090,3.68,2.415,0.091,12.100,0.000,-0.1459,0.3929,0.069,0.000,0.198,-0.001,50.226
109,26.086,38.4025,12.233,-0.072,4.02,2.409,0.079,12.200,0.000,-0.0642,-0.2102,0.016,0.000,0.199,0.000,100.105
110,26.285,37.4074,12.353,-0.060,4.18,2.426,0.076,12.400,0.000,0.2255,-0.5918,0.000,0.018,0.200,-0.013,50.196
111,26.536,36.5998,12.473,-0.051,4.17,2.382,0.058,12.500,0.000,-0.4079,2.0781,0.218,0.000,0.200,-0.030,50.206
112,26.735,36.9669,12.591,-0.042,4.15,2.373,0.043,12.600,0.000,0.0295,1.0929,0.133,0.000,0.199,-0.029,50.160
113,26.986,35.6622,12.711,-0.033,4.17,2.433,0.035,12.700,0.000,0.2672,-0.0042,0.037,0.000,0.199,-0.005,50.219
114,27.185,35.7884,12.834,-0.024,4.20,2.508,0.042,12.800,0.000,0.4547,1.8006,0.198,0.000,0.199,-0.012,50.109
115,27.485,38.9092,12.961,-0.012,4.29,2.557,0.041,13.000,0.000,0.5340,-0.1633,0.026,0.000,0.198,-0.014,100.138
116,27.686,43.3034,13.090,0.004,4.49,2.617,0.011,13.100,0.000,0.5105,-0.8470,0.000,0.035,0.198,-0.018,50.241
117,27.936,39.4528,13.220,0.024,4.85,2.603,0.032,13.200,0.000,0.5107,0.0434,0.043,0.000,0.197,-0.030,50.211
118,28.136,35.2609,13.348,0.050,5.36,2.569,0.069,13.300,0.000,0.5008,-0.4269,0.001,0.000,0.196,-0.042,50.194
119,28.385,39.3781,13.475,0.080,6.02,2.562,0.084,13.500,0.000,0.4792,0.4555,0.079,0.000,0.195,-0.050,50.160
120,28.585,35.9544,13.600,0.115,6.80,2.548,0.115,13.600,0.000,0.5340,0.7333,0.104,0.000,0.193,-0.043,50.793
121,28.886,37.1762,13.725,0.156,7.69,2.594,0.158,13.700,0.000,0.4917,-0.1446,0.027,0.000,0.192,-0.019,100.276
122,29.086,35.5515,13.851,0.201,8.71,2.646,0.207,13.900,0.000,0.0781,-0.5045,0.000,0.005,0.192,0.005,50.332
123,29.336,40.5410,13.977,0.253,9.86,2.662,0.254,14.000,0.000,-0.4572,-0.6235,0.000,0.016,0.192,0.023,50.164
124,29.535,39.9625,14.101,0.306,11.01,2.598,0.306,14.100,0.000,-0.5075,0.8198,0.111,0.000,0.194,0.040,50.118
125,29.786,35.1860,14.223,0.355,11.96,2.580,0.356,14.200,0.000,-0.5193,0.3060,0.066,0.000,0.196,0.056,50.119
126,30.036,34.0775,14.346,0.401,12.61,2.622,0.403,14.300,0.000,-0.5148,-0.0308,0.037,0.000,0.198,0.035,100.101
127,30.286,35.2717,14.472,0.441,12.99,2.658,0.442,14.500,0.000,-0.5260,-0.4613,0.000,0.001,0.200,0.050,50.115
128,30.485,41.2160,14.600,0.474,13.11,2.618,0.474,14.600,0.000,-0.5174,-0.1001,0.030,0.000,0.201,0.032,50.130
129,30.736,38.6794,14.726,0.500,13.01,2.547,0.500,14.700,0.000,-0.5284,-0.0763,0.032,0.000,0.202,0.018,50.215
130,30.937,34.5290,14.850,0.520,12.72,2.513,0.523,14.900,0.000,-0.5317,-0.0895,0.031,0.000,0.202,0.011,50.417
131,31.186,33.7012,14.975,0.535,12.29,2.494,0.536,15.000,0.000,-0.5200,0.6119,0.093,0.000,0.201,0.020,50.068
132,31.386,39.6776,15.099,0.545,11.70,2.477,0.547,15.157,0.001,-0.5152,0.5329,0.087,0.000,0.202,0.040,50.297
133,31.636,35.7529,15.224,0.550,10.94,2.497,0.553,15.157,0.001,-0.4985,-0.0131,0.039,0.000,0.202,0.042,50.363
134,31.836,34.6179,15.351,0.549,10.03,2.510,0.547,15.314,0.003,-0.5070,0.4424,0.079,0.000,0.203,0.028,50.230
135,32.135,35.3484,15.479,0.543,8.99,2.501,0.535,15.471,0.007,-0.4974,0.3292,0.070,0.000,0.203,0.020,100.347
136,32.336,34.6949,15.607,0.530,7.83,2.492,0.517,15.628,0.013,-0.4820,0.3077,0.068,0.000,0.204,0.021,50.375
137,32.586,36.6846,15.735,0.511,6.52,2.500,0.493,15.785,0.021,-0.4399,0.2379,0.063,0.000,0.205,0.012,50.450
138,32.786,37.7722,15.863,0.486,5.08,2.512,0.463,15.942,0.030,-0.3947,0.1302,0.053,0.000,0.206,0.011,50.238
139,33.036,37.2050,15.992,0.456,3.56,2.547,0.429,16.099,0.040,-0.3010,0.1271,0.053,0.000,0.207,-0.016,50.297
140,33.236,37.3526,16.122,0.425,2.13,2.623,0.386,16.099,0.040,-0.1752,-0.2009,0.024,0.000,0.206,-0.047,50.257
141,33.486,39.4086,16.256,0.396,0.89,2.674,0.344,16.255,0.053,-0.0061,-0.3038,0.015,0.000,0.203,-0.060,50.106
142,33.686,35.9149,16.392,0.370,-0.09,2.723,0.304,16.412,0.067,0.2354,-0.6497,0.000,0.016,0.201,-0.092,50.394
143,33.986,45.4396,16.528,0.350,-0.81,2.732,0.271,16.568,0.082,0.3015,-0.7588,0.000,0.027,0.198,-0.098,100.595
144,34.185,37.3729,16.664,0.336,-1.26,2.715,0.244,16.724,0.099,0.4582,-0.9852,0.000,0.048,0.195,-0.065,50.634
145,34.436,38.5125,16.798,0.330,-1.38,2.655,0.227,16.880,0.118,0.3806,-0.6331,0.000,0.018,0.193,-0.050,50.192
146,34.636,36.8282,16.930,0.330,-1.24,2.610,0.217,16.880,0.118,0.4712,-0.4664,0.000,0.004,0.191,-0.001,50.030
147,34.886,45.0202,17.060,0.335,-0.94,2.579,0.197,17.036,0.139,0.4691,-0.4583,0.000,0.004,0.191,0.014,50.273
148,35.086,37.1013,17.188,0.344,-0.55,2.536,0.183,17.191,0.161,0.4784,-1.3722,0.000,0.085,0.191,0.021,50.339
149,35.337,36.8372,17.312,0.358,-0.03,2.434,0.177,17.347,0.185,0.5096,-0.4068,0.000,0.001,0.191,0.022,50.207
150,35.536,35.3838,17.432,0.376,0.62,2.398,0.180,17.502,0.210,0.3771,-0.2721,0.010,0.000,0.191,0.015,50.100
151,35.787,38.6922,17.550,0.399,1.40,2.355,0.194,17.656,0.237,0.3938,0.2518,0.056,0.000,0.191,0.021,49.357
152,35.986,34.9939,17.665,0.425,2.25,2.319,0.189,17.656,0.237,0.2950,0.4060,0.070,0.000,0.191,0.016,49.708
153,36.236,37.4838,17.780,0.455,3.16,2.359,0.192,17.811,0.266,0.3704,0.4778,0.077,0.000,0.191,0.014,50.501
154,36.436,37.4131,17.898,0.485,4.01,2.413,0.201,17.965,0.296,0.3078,0.1157,0.046,0.000,0.193,0.020,50.850
155,36.687,40.5523,18.018,0.518,4.83,2.463,0.215,18.119,0.328,0.2433,0.3024,0.062,0.000,0.195,0.003,49.968
156,36.886,37.6929,18.139,0.553,5.70,2.512,0.226,18.119,0.328,0.2185,0.0053,0.036,0.000,0.196,-0.002,49.834
157,37.136,39.2219,18.263,0.586,6.49,2.554,0.225,18.272,0.361,0.2670,-0.1073,0.026,0.000,0.198,-0.008,50.001
158,37.336,37.5857,18.388,0.619,7.14,2.554,0.226,18.425,0.396,0.2397,-0.1931,0.019,0.000,0.199,-0.038,49.896
159,37.586,39.2098,18.511,0.653,7.75,2.534,0.230,18.578,0.433,0.2603,-0.1896,0.019,0.000,0.199,-0.041,50.093
160,37.786,35.6808,18.634,0.689,8.41,2.523,0.239,18.730,0.471,0.2300,-0.0339,0.032,0.000,0.198,-0.041,50.529
161,38.036,36.0706,18.755,0.727,9.14,2.512,0.250,18.882,0.511,0.1612,0.0193,0.037,0.000,0.197,-0.025,50.031
162,38.236,39.0746,18.876,0.765,9.85,2.513,0.254,18.882,0.511,0.1824,0.0954,0.044,0.000,0.196,0.016,50.034
163,38.486,34.5369,18.998,0.801,10.41,2.520,0.251,19.034,0.553,0.1687,0.0012,0.035,0.000,0.197,0.030,50.051
164,38.686,35.3251,19.119,0.838,10.88,2.543,0.251,19.185,0.596,0.1635,0.0028,0.036,0.000,0.197,0.027,50.518
165,38.986,36.3928,19.241,0.876,11.34,2.559,0.254,19.335,0.640,0.1824,-0.0973,0.027,0.000,0.197,0.028,100.388
