step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
46,2.245,14.0754,4.785,-0.013,0.01,2.366,0.020,4.800,0.000,-0.0031,0.1990,0.038,0.000,0.200,-0.019
47,2.307,20.4678,4.880,-0.013,0.00,2.350,0.024,4.900,0.000,0.0007,0.1536,0.034,0.000,0.200,0.026
48,2.346,14.6442,5.022,-0.013,-0.02,2.363,0.025,5.000,0.000,0.0151,-0.0164,0.020,0.000,0.200,0.002
49,2.406,22.9987,5.117,-0.013,-0.02,2.379,0.021,5.100,0.000,-0.0030,0.0438,0.025,0.000,0.200,0.036
50,2.446,17.3494,5.260,-0.013,-0.01,2.371,0.042,5.300,0.000,0.0015,0.0877,0.029,0.000,0.200,0.022
51,2.485,14.6993,5.355,-0.012,0.01,2.373,0.047,5.400,0.000,-0.0167,-0.0572,0.016,0.000,0.200,0.022
52,2.525,14.5283,5.449,-0.012,0.03,2.369,0.051,5.400,0.000,-0.0444,-0.1075,0.011,0.000,0.200,-0.028
53,2.565,14.1620,5.544,-0.012,0.03,2.360,0.045,5.500,0.000,-0.0433,-0.0632,0.015,0.000,0.200,-0.012
54,2.605,15.2010,5.638,-0.012,0.01,2.332,0.040,5.600,0.000,-0.0487,-0.1548,0.007,0.000,0.200,0.021
55,2.645,14.6469,5.731,-0.014,-0.03,2.316,0.034,5.700,0.000,-0.0834,-0.2025,0.003,0.000,0.200,0.023
56,2.686,15.3853,5.822,-0.015,-0.10,2.296,0.027,5.800,0.000,-0.0676,-0.2024,0.002,0.000,0.200,-0.034
57,2.726,15.2596,5.913,-0.018,-0.17,2.251,0.022,5.900,0.000,-0.0633,-0.2784,0.000,0.005,0.200,-0.007
58,2.766,17.3015,6.002,-0.021,-0.29,2.217,0.021,6.000,0.000,-0.0943,-0.1736,0.004,0.000,0.200,0.015
59,2.806,14.3969,6.090,-0.026,-0.43,2.185,0.027,6.100,0.000,-0.0903,-0.3707,0.000,0.013,0.200,-0.009
60,2.846,16.5091,6.177,-0.030,-0.58,2.142,0.038,6.200,0.000,-0.0910,-0.1327,0.007,0.000,0.200,-0.019
61,2.885,15.9841,6.261,-0.036,-0.77,2.102,0.053,6.300,0.000,-0.1048,-0.1253,0.008,0.000,0.200,0.010
62,2.946,21.9225,6.345,-0.043,-0.97,2.067,0.062,6.300,0.000,-0.0900,-0.0258,0.016,0.000,0.199,-0.009
63,2.987,16.4591,6.467,-0.055,-1.32,2.021,0.064,6.500,0.000,-0.0787,0.0581,0.024,0.000,0.199,-0.013
64,3.026,15.7133,6.547,-0.064,-1.57,1.992,0.079,6.500,0.000,-0.0633,0.1597,0.033,0.000,0.199,-0.008
65,3.067,15.8043,6.627,-0.073,-1.84,1.990,0.078,6.600,0.000,-0.0698,0.0984,0.028,0.000,0.199,0.001
66,3.106,16.8790,6.706,-0.083,-2.11,2.005,0.083,6.700,0.000,-0.0809,0.1790,0.035,0.000,0.199,-0.007
67,3.147,14.8133,6.786,-0.092,-2.34,2.021,0.093,6.800,0.000,-0.0833,0.3767,0.053,0.000,0.199,0.013
68,3.187,15.1116,6.867,-0.101,-2.55,2.034,0.107,6.900,0.000,-0.0725,0.1268,0.031,0.000,0.199,0.008
69,3.228,15.3010,6.948,-0.112,-2.78,2.045,0.122,6.900,0.000,-0.0550,0.3350,0.050,0.000,0.200,0.022
70,3.266,15.5236,7.030,-0.123,-3.03,2.066,0.126,7.000,0.000,-0.0489,0.2588,0.043,0.000,0.200,0.009
71,3.306,13.9889,7.112,-0.134,-3.30,2.089,0.134,7.100,0.000,-0.0688,0.2483,0.043,0.000,0.201,-0.020
72,3.365,26.4300,7.195,-0.144,-3.53,2.123,0.144,7.200,0.000,-0.0642,0.4349,0.060,0.000,0.201,0.039
73,3.426,21.0587,7.323,-0.160,-3.81,2.157,0.162,7.300,0.000,-0.0406,0.3896,0.056,0.000,0.201,0.032
74,3.467,14.7885,7.453,-0.178,-4.10,2.194,0.184,7.500,0.000,-0.0294,0.2946,0.048,0.000,0.202,0.026
75,3.525,23.1247,7.541,-0.190,-4.32,2.242,0.194,7.500,0.000,-0.0171,0.2170,0.042,0.000,0.202,0.017
76,3.586,20.0688,7.677,-0.207,-4.65,2.296,0.209,7.700,0.000,-0.0136,0.1073,0.032,0.000,0.202,0.016
77,3.646,25.7188,7.815,-0.224,-4.86,2.336,0.225,7.800,0.000,0.0048,0.1582,0.037,0.000,0.202,0.018
78,3.686,14.5033,7.955,-0.239,-4.97,2.360,0.243,8.000,0.000,0.0056,0.1119,0.033,0.000,0.201,0.017
79,3.727,15.0003,8.049,-0.249,-5.01,2.378,0.253,8.000,0.000,0.0330,0.3540,0.055,0.000,0.201,0.007
80,3.766,14.6705,8.143,-0.257,-5.04,2.388,0.261,8.100,0.000,-0.0008,0.0923,0.032,0.000,0.200,-0.035
81,3.826,22.4177,8.239,-0.265,-5.04,2.408,0.268,8.200,0.000,0.0507,0.1609,0.038,0.000,0.200,-0.019
82,3.885,23.2738,8.384,-0.277,-5.01,2.438,0.278,8.400,0.000,0.0289,0.0275,0.026,0.000,0.200,-0.023
83,3.927,14.7439,8.530,-0.289,-4.98,2.451,0.291,8.500,0.000,0.0565,0.2097,0.043,0.000,0.200,-0.022
84,3.965,14.4808,8.628,-0.296,-4.95,2.458,0.297,8.600,0.000,0.0377,0.0520,0.029,0.000,0.200,-0.040
85,4.007,14.0891,8.726,-0.302,-4.88,2.465,0.303,8.700,0.000,0.0541,0.0449,0.028,0.000,0.200,-0.005
86,4.067,26.7985,8.825,-0.307,-4.78,2.472,0.309,8.800,0.000,0.0499,-0.2336,0.004,0.000,0.199,0.035
87,4.126,28.8022,8.973,-0.314,-4.58,2.479,0.315,9.000,0.000,0.0496,0.0437,0.028,0.000,0.199,0.014
88,4.186,18.6754,9.121,-0.319,-4.35,2.447,0.320,9.100,0.000,0.0589,-0.0823,0.017,0.000,0.199,-0.028
89,4.245,28.3145,9.267,-0.322,-4.06,2.432,0.324,9.300,0.000,0.0456,-0.0332,0.021,0.000,0.198,-0.050
90,4.286,14.5975,9.413,-0.324,-3.77,2.429,0.324,9.400,0.000,0.0687,0.0617,0.029,0.000,0.198,-0.028
91,4.326,14.2145,9.510,-0.325,-3.57,2.409,0.325,9.500,0.000,0.0507,0.0368,0.027,0.000,0.198,-0.038
