step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
43,10.385,10.4699,4.263,0.015,0.31,2.543,0.040,4.300,0.000,-0.0171,-0.1647,0.020,0.000,0.199,0.009,50.165
44,10.586,10.5535,4.390,0.015,0.28,2.534,0.018,4.400,0.000,-0.0211,-0.1756,0.018,0.000,0.199,0.008,49.868
45,10.835,9.9208,4.517,0.014,0.24,2.518,0.022,4.500,0.000,-0.0257,-0.1278,0.022,0.000,0.199,0.007,50.039
46,11.035,9.3639,4.642,0.014,0.19,2.500,0.044,4.600,0.000,-0.0142,-0.0876,0.026,0.000,0.200,0.007,50.016
47,11.285,9.6198,4.767,0.012,0.12,2.491,0.035,4.800,0.000,-0.0100,-0.0329,0.031,0.000,0.200,0.005,50.361
48,11.485,9.4079,4.892,0.011,0.06,2.492,0.014,4.900,0.000,-0.0091,-0.0302,0.031,0.000,0.200,0.006,50.273
49,11.736,9.1336,5.017,0.011,0.03,2.499,0.020,5.000,0.000,-0.0134,-0.0551,0.029,0.000,0.200,0.012,50.139
50,11.985,12.5623,5.142,0.010,0.00,2.503,0.043,5.100,0.000,-0.0339,-0.0815,0.026,0.000,0.200,0.020,100.254
51,12.286,11.3301,5.268,0.009,-0.02,2.498,0.034,5.300,0.000,-0.0537,-0.1977,0.016,0.000,0.200,0.025,100.191
52,12.486,11.2192,5.393,0.008,-0.08,2.484,0.011,5.400,0.000,-0.0991,-0.2647,0.010,0.000,0.200,0.027,50.132
53,12.784,11.9036,5.516,0.005,-0.16,2.456,0.017,5.500,0.000,-0.1268,-0.3389,0.003,0.000,0.201,0.026,100.084
54,13.034,11.6642,5.639,0.002,-0.27,2.418,0.039,5.600,0.000,-0.1391,-0.3333,0.003,0.000,0.201,0.023,99.854
55,13.334,10.9762,5.759,-0.003,-0.42,2.375,0.041,5.800,0.000,-0.1757,-0.2850,0.007,0.000,0.201,0.029,100.147
56,13.586,11.4901,5.876,-0.009,-0.62,2.326,0.025,5.900,0.000,-0.1909,-0.3270,0.002,0.000,0.200,0.024,100.200
57,13.885,11.4023,5.992,-0.017,-0.85,2.276,0.019,6.000,0.000,-0.2136,-0.3050,0.004,0.000,0.200,0.016,99.942
58,14.136,11.9733,6.105,-0.027,-1.14,2.238,0.027,6.100,0.000,-0.2127,-0.2784,0.006,0.000,0.200,0.007,100.126
59,14.384,11.6222,6.215,-0.038,-1.46,2.192,0.041,6.200,0.000,-0.2162,-0.1797,0.014,0.000,0.199,0.001,49.784
60,14.584,10.7260,6.323,-0.051,-1.83,2.154,0.056,6.300,0.000,-0.2077,-0.1338,0.018,0.000,0.199,0.003,50.253
61,14.884,13.7066,6.430,-0.066,-2.23,2.116,0.072,6.400,0.000,-0.1952,-0.0863,0.022,0.000,0.199,-0.003,100.541
62,15.135,12.4386,6.535,-0.082,-2.67,2.106,0.089,6.500,0.000,-0.1706,-0.0037,0.030,0.000,0.199,0.016,100.351
63,15.436,10.1796,6.639,-0.100,-3.14,2.097,0.107,6.600,0.000,-0.1578,0.0609,0.035,0.000,0.199,-0.011,100.548
64,15.636,11.9251,6.743,-0.117,-3.60,2.116,0.125,6.700,0.000,-0.1331,0.1693,0.045,0.000,0.199,-0.012,50.134
65,15.886,11.3991,6.849,-0.135,-4.02,2.140,0.144,6.800,0.000,-0.1246,0.1678,0.045,0.000,0.199,-0.027,49.663
66,16.085,11.6819,6.956,-0.153,-4.37,2.180,0.159,7.000,0.000,-0.0945,0.2376,0.051,0.000,0.200,-0.003,49.857
67,16.384,9.3982,7.065,-0.170,-4.68,2.217,0.173,7.100,0.000,-0.0671,0.2314,0.051,0.000,0.200,0.013,99.980
68,16.635,9.4640,7.176,-0.186,-4.97,2.254,0.188,7.200,0.000,-0.0357,0.2195,0.050,0.000,0.200,0.019,100.656
69,16.884,12.9992,7.290,-0.202,-5.20,2.306,0.202,7.300,0.000,-0.0165,0.2186,0.051,0.000,0.200,0.018,50.036
70,17.135,11.4259,7.405,-0.217,-5.37,2.355,0.217,7.400,0.000,0.0041,0.2262,0.052,0.000,0.200,0.019,100.136
71,17.436,9.7472,7.523,-0.230,-5.47,2.402,0.232,7.500,0.000,0.0234,0.1897,0.049,0.000,0.200,0.012,100.165
72,17.634,10.6448,7.643,-0.243,-5.52,2.440,0.247,7.600,0.000,0.0407,0.1284,0.043,0.000,0.200,-0.005,49.641
73,17.884,11.6922,7.766,-0.254,-5.50,2.472,0.256,7.800,0.000,0.0514,0.0987,0.041,0.000,0.200,-0.013,50.513
74,18.134,12.1944,7.889,-0.264,-5.44,2.499,0.264,7.900,0.000,0.0611,0.1106,0.042,0.000,0.200,-0.016,99.971
75,18.385,11.8707,8.014,-0.273,-5.34,2.520,0.273,8.000,0.000,0.0827,0.0718,0.039,0.000,0.200,-0.025,50.366
76,18.584,12.9606,8.141,-0.281,-5.22,2.539,0.284,8.100,0.000,0.0881,0.0448,0.036,0.000,0.200,-0.033,50.324
77,18.836,11.6010,8.268,-0.288,-5.07,2.558,0.290,8.300,0.000,0.1076,0.0142,0.034,0.000,0.200,-0.037,50.348
78,19.084,9.6610,8.396,-0.294,-4.88,2.573,0.294,8.400,0.000,0.1165,-0.0220,0.031,0.000,0.199,-0.039,99.967
