step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
35.000000,1.750000,2.228600,4.367747,-0.003013,0.202703,2.502360,0.032393,4.400000,0.000000,-0.000236,-0.063051,0.000000,0.000000,0.000000,0.000000,3.058936
36.000000,1.800000,2.276000,4.492865,-0.002571,0.201576,2.499208,0.007584,4.500000,0.000000,0.005526,-0.039655,0.000000,0.000000,0.000000,0.000000,2.938577
37.000000,1.850000,2.167900,4.617824,-0.002131,0.227950,2.497225,0.017951,4.600000,0.000000,0.005500,-0.055824,0.000000,0.000000,0.000000,0.000000,2.818771
38.000000,1.900000,2.103500,4.742685,-0.001634,0.254181,2.494434,0.042716,4.700000,0.000000,0.001785,-0.013392,0.000000,0.000000,0.000000,0.000000,2.699318
39.000000,1.950000,2.084000,4.867405,-0.001081,0.262686,2.493764,0.032613,4.900000,0.000000,-0.001296,-0.066355,0.000000,0.000000,0.000000,0.000000,2.580207
40.000000,2.000000,2.723300,4.992092,-0.000509,0.256514,2.490447,0.007924,5.000000,0.000000,-0.002885,-0.080830,0.000000,0.000000,0.000000,0.000000,2.461405
41.000000,2.050000,2.259500,5.116613,0.000048,0.242792,2.486405,0.016613,5.100000,0.000000,-0.011202,-0.064068,0.000000,0.000000,0.000000,0.000000,2.343120
42.000000,2.100000,2.121300,5.240932,0.000575,0.189595,2.483202,0.040936,5.200000,0.000000,-0.024969,-0.152813,0.000000,0.000000,0.000000,0.000000,2.225351
43.000000,2.150000,2.096400,5.365092,0.000986,0.071152,2.475561,0.034922,5.400000,0.000000,-0.045057,-0.292990,0.000000,0.000000,0.000000,0.000000,2.108140
44.000000,2.200000,2.796900,5.488870,0.001139,-0.142020,2.460912,0.011189,5.500000,0.000000,-0.064251,-0.367396,0.000000,0.000000,0.000000,0.000000,1.991888
45.000000,2.250000,2.207700,5.611915,0.000834,-0.444414,2.442542,0.011944,5.600000,0.000000,-0.086334,-0.370295,0.000000,0.000000,0.000000,0.000000,1.877307
46.000000,2.300000,2.293300,5.734038,-0.000113,-0.848159,2.424027,0.034038,5.700000,0.000000,-0.087244,-0.364752,0.000000,0.000000,0.000000,0.000000,1.765013
47.000000,2.350000,2.059900,5.855226,-0.001907,-1.253088,2.405789,0.044814,5.900000,0.000000,-0.096891,-0.313965,0.000000,0.000000,0.000000,0.000000,1.655383
