x,y,yaw,ref_v
0.0,0.0,0.3741966805226849,4.0
0.1,0.039269504443556674,0.37418618694913863,4.0
0.2,0.07853658655910338,0.374154706356923,4.0
0.30000000000000004,0.11779882416805076,0.3741022391315026,4.0
0.4,0.15705379539064146,0.37402878591596694,4.0
0.5,0.19629907879534306,0.3739343476120036,4.0
0.6000000000000001,0.23553225354821333,0.3738189253812604,4.0
0.7000000000000001,0.27475089956222876,0.3736825206470958,4.0
0.8,0.31395259764656686,0.37352513509671914,4.0
0.9,0.3531349296558334,0.37334677068371835,4.0
1.0,0.3922954786392247,0.37314742963097614,4.0
1.1,0.4314318289896169,0.37292711443397386,4.0
1.2000000000000002,0.4705415665925716,0.37268582786448323,4.0
1.3,0.5096222789752501,0.37242357297464423,4.0
1.4000000000000001,0.5486715554552264,0.3721403531014302,4.0
1.5,0.5876869872891882,0.3718361718714983,4.0
1.6,0.6266661678215213,0.371511033206426,4.0
1.7000000000000002,0.6656066926327618,0.37116494132833094,4.0
1.8,0.7045061596879133,0.3707979007658762,4.0
1.9000000000000001,0.743362169484615,0.37040991636065784,4.0
2.0,0.7821723252011543,0.37000099327397457,4.0
2.1,0.8209342328443148,0.3695711369939793,4.0
2.2,0.8596455013970478,0.36912035334321136,4.0
2.3000000000000003,0.8983037429659628,0.36864864848650664,4.0
2.4000000000000004,0.9369065729286231,0.3681560289392877,4.0
2.5,0.9754516100806412,0.3676425015762295,4.0
2.6,1.0139364767825625,0.36710807364030157,4.0
2.7,1.0523587991065284,0.3665527527521842,4.0
2.8000000000000003,1.0907162069827128,0.3659765469200574,4.0
2.9000000000000004,1.1290063343455186,0.36537946454976156,4.0
3.0,1.167226819279527,0.3647615144553271,4.0
3.1,1.2053753041651931,0.36412270586987266,4.0
3.2,1.243449435824274,0.3634630484568685,4.0
3.3000000000000003,1.2814468656649833,0.36278255232176515,4.0
3.4000000000000004,1.3193652498268647,0.3620812280239824,4.0
3.5,1.3572022493253713,0.3613590865892595,4.0
3.6,1.3949555301961465,0.3606161395223623,4.0
3.7,1.4326227636389914,0.3598523988201449,4.0
3.8000000000000003,1.47020162616152,0.35906787698496434,4.0
3.9000000000000004,1.5076897997224785,0.35826258703844516,4.0
4.0,1.545084971874737,0.35743654253558976,4.0
4.1000000000000005,1.5823848359079307,0.3565897575792341,4.0
4.2,1.619587090990747,0.3557222468348428,4.0
4.3,1.6566894423128549,0.3548340255456424,4.0
4.4,1.693689601226457,0.3539251095480883,4.0
4.5,1.7305852853874648,0.3529955152876624,4.0
4.6000000000000005,1.767374218896286,0.3520452598349964,4.0
4.7,1.804054132438209,0.3510743609023188,4.0
4.800000000000001,1.8406227634233898,0.35008283686021924,4.0
4.9,1.8770778561264154,0.34907070675472757,4.0
