x,y,yaw,ref_v
0.0,0.0,0.0,1.5
0.05,0.0,0.0,1.5
0.1,0.0,0.0,1.5
0.15000000000000002,0.0,0.0,1.5
0.2,0.0,0.0,1.5
0.25,0.0,0.0,1.5
0.30000000000000004,0.0,0.0,1.5
0.35000000000000003,0.0,0.0,1.5
0.4,0.0,0.0,1.5
0.45,0.0,0.0,1.5
0.5,0.0,0.0,1.5
0.55,0.0,0.0,1.5
0.6000000000000001,0.0,0.0,1.5
0.65,0.0,0.0,1.5
0.7000000000000001,0.0,0.0,1.5
0.75,0.0,0.0,1.5
0.8,0.0,0.0,1.5
0.8500000000000001,0.0,0.0,1.5
0.9,0.0,0.0,1.5
0.9500000000000001,0.0,0.0,1.5
1.0,0.0,0.0,1.5
1.05,0.0,0.0,1.5
1.1,0.0,0.0,1.5
1.1500000000000001,0.0,0.0,1.5
1.2000000000000002,0.0,0.0,1.5
1.25,0.0,0.0,1.5
1.3,0.0,0.0,1.5
1.35,0.0,0.0,1.5
1.4000000000000001,0.0,0.0,1.5
1.4500000000000002,0.0,0.0,1.5
1.5,0.0,0.0,1.5
1.55,0.0,0.0,1.5
1.6,0.0,0.0,1.5
1.6500000000000001,0.0,0.0,1.5
1.7000000000000002,0.0,0.0,1.5
1.75,0.0,0.0,1.5
1.8,0.0,0.0,1.5
1.85,0.0,0.0,1.5
1.9000000000000001,0.0,0.0,1.5
1.9500000000000002,0.0,0.0,1.5
2.0,0.0,0.0,1.5
2.0500000000000003,0.0,0.0,1.5
2.1,0.0,0.0,1.5
2.15,0.0,0.0,1.5
2.2,0.0,0.0,1.5
2.25,0.0,0.0,1.5
2.3000000000000003,0.0,0.0,1.5
2.35,0.0,0.0,1.5
2.4000000000000004,0.0,0.0,1.5
2.45,0.0,0.0,1.5
2.5,0.0,0.0,1.5
2.5500000000000003,0.0,0.0,1.5
2.6,0.0,0.0,1.5
2.6500000000000004,0.0,0.0,1.5
2.7,0.0,0.0,1.5
2.75,0.0,0.0,1.5
2.8000000000000003,0.0,0.0,1.5
2.85,0.0,0.0,1.5
2.9000000000000004,0.0,0.0,1.5
2.95,0.0,0.0,1.5
3.0,0.0,0.0,1.5
3.050022022384736,0.0005004906428682787,0.02001014429038085,1.5
3.100024016326159,0.0020017621787671303,0.0400202885807617,1.5
3.149985961400195,0.00450321350981131,0.06003043287114254,1.5
3.1998878532180375,0.008003843073612682,0.0800405771615234,1.5
3.249709711435753,0.012502249244298547,0.10005072145190425,1.5
3.299431587754263,0.017996630893712506,0.12006086574228508,1.5
3.3490335739064925,0.024484788112571376,0.14007101003266592,1.5
3.3984958096284923,0.031964123091292596,0.1600811543230468,1.5
3.447798490611339,0.04043164116013909,0.18009129861342763,1.5
3.4969218764306325,0.049883951988261455,0.2001014429038085,1.5
3.545846298450414,0.060317270941161905,0.22011158719418933,1.5
3.59455216769834,0.07172742059603099,0.24012173148457017,1.5
3.6430199827089624,0.08410983241436121,0.260131875774951,1.5
3.6912303373319655,0.09745954857115091,0.28014202006533184,1.5
3.739163928502248,0.11177122393998395,0.30015216435571274,1.5
3.786801563968721,0.1270391282331742,0.3201623086460936,1.5
3.834124169978746,0.14325714829613467,0.3401724529364744,1.5
3.881112798915119,0.16041879055503516,0.36018259722685525,1.5
3.9277486368825567,0.1785171836167816,0.3801927415172361,1.5
3.9740130112406393,0.19754508102027302,0.400202885807617,1.5
4.019887398080195,0.21749486413782426,0.4202130300979978,1.5
4.065353429640137,0.23835854522561473,0.44022317438837866,1.5
