step,t,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
50,8.863,16.785,-0.832,-15.90,1.882,0.934,16.724,0.099,0.2689,-0.4099,0.000,0.029,0.584,0.045
51,9.063,17.170,-0.828,-12.32,1.843,0.976,17.036,0.139,0.2735,-0.2276,0.000,0.013,0.587,0.011
52,9.215,17.457,-0.796,-9.25,1.837,0.987,17.347,0.185,0.2809,-0.1949,0.000,0.010,0.588,0.022
53,9.414,17.840,-0.722,-4.87,1.879,0.977,17.656,0.237,0.2833,-0.1737,0.000,0.009,0.590,-0.034
54,9.562,18.127,-0.644,-1.49,1.887,0.954,17.965,0.296,0.2981,-0.0112,0.005,0.000,0.591,0.024
55,9.763,18.507,-0.510,3.20,1.933,0.902,18.272,0.361,0.2919,0.1172,0.017,0.000,0.590,-0.006
56,9.913,18.788,-0.380,6.97,1.956,0.840,18.578,0.433,0.2995,0.1191,0.017,0.000,0.590,0.001
57,10.114,19.155,-0.179,11.98,1.993,0.741,19.034,0.553,0.2556,0.1647,0.021,0.000,0.591,-0.045
58,10.262,19.421,-0.004,15.86,2.016,0.644,19.185,0.596,0.2536,0.3190,0.035,0.000,0.591,-0.010
59,10.463,19.770,0.241,20.29,2.062,0.511,19.635,0.734,0.2192,0.4642,0.049,0.000,0.591,-0.021
60,10.614,20.029,0.439,23.50,2.122,0.407,19.933,0.834,0.2252,0.5486,0.057,0.000,0.590,0.034
61,10.813,20.380,0.727,27.44,2.273,0.262,20.229,0.941,0.1750,0.5212,0.055,0.000,0.589,0.027
62,10.963,20.646,0.971,30.59,2.404,0.143,20.668,1.112,0.1658,0.4449,0.049,0.000,0.589,0.055
63,11.163,21.014,1.317,34.05,2.527,0.090,21.101,1.297,0.1371,0.4954,0.054,0.000,0.590,-0.026
64,11.312,21.290,1.594,36.53,2.631,0.192,21.387,1.428,0.1259,0.4753,0.053,0.000,0.588,-0.016
65,11.516,21.665,1.983,39.32,2.731,0.376,21.810,1.635,0.0788,0.3554,0.043,0.000,0.588,-0.008
66,11.663,21.947,2.291,41.31,2.798,0.517,22.226,1.855,-0.0100,0.1923,0.029,0.000,0.588,-0.011
67,11.864,22.333,2.696,42.85,2.764,0.678,22.636,2.089,-0.0583,0.0772,0.019,0.000,0.590,-0.022
68,12.013,22.633,2.974,42.81,2.692,0.756,23.037,2.335,-0.1160,0.0736,0.018,0.000,0.590,0.002
69,12.213,23.038,3.311,41.93,2.567,0.817,23.561,2.683,-0.1369,0.0092,0.013,0.000,0.590,0.022
70,12.366,23.345,3.536,40.67,2.473,0.820,23.817,2.865,-0.1420,0.1060,0.021,0.000,0.591,0.028
71,12.563,23.755,3.794,38.34,2.349,0.781,24.194,3.148,-0.1320,0.0222,0.014,0.000,0.591,-0.050
72,12.712,24.064,3.962,36.29,2.295,0.719,24.561,3.442,-0.1192,0.0759,0.019,0.000,0.591,-0.020
73,12.963,24.471,4.169,33.90,2.232,0.615,24.920,3.748,-0.0721,0.1375,0.024,0.000,0.588,-0.026
74,13.115,24.872,4.361,31.77,2.188,0.491,25.153,3.959,-0.0611,0.3017,0.039,0.000,0.589,-0.017
75,13.313,25.270,4.560,30.50,2.254,0.357,25.495,4.283,-0.0106,0.2624,0.036,0.000,0.589,0.027
76,13.463,25.576,4.715,29.70,2.316,0.253,25.717,4.505,0.0146,0.2200,0.033,0.000,0.590,0.016
77,13.664,25.986,4.943,29.54,2.372,0.111,26.041,4.847,0.0714,0.0836,0.021,0.000,0.589,-0.014
78,13.814,26.292,5.125,29.74,2.359,0.060,26.252,5.080,0.0933,0.1787,0.029,0.000,0.590,-0.051
79,14.015,26.688,5.382,30.56,2.359,0.142,26.558,5.439,0.1471,0.1061,0.023,0.000,0.588,0.010
80,14.163,26.976,5.590,31.63,2.354,0.239,26.755,5.683,0.1628,0.0790,0.021,0.000,0.587,0.038
81,14.363,27.338,5.889,33.72,2.302,0.340,27.042,6.057,0.2330,-0.1606,0.000,0.000,0.586,0.014
82,14.516,27.588,6.128,35.73,2.226,0.404,27.227,6.311,0.2385,-0.2850,0.000,0.012,0.584,-0.005
83,14.719,27.873,6.457,39.00,2.050,0.450,27.494,6.699,0.2583,-0.1680,0.000,0.002,0.583,-0.018
84,14.865,28.055,6.712,41.79,2.013,0.463,27.665,6.963,0.2521,0.0019,0.013,0.000,0.584,-0.013
85,15.063,28.265,7.071,45.92,1.992,0.459,27.911,7.364,0.2539,0.1549,0.027,0.000,0.588,0.050
86,15.214,28.403,7.351,49.07,2.007,0.439,27.990,7.500,0.2540,0.1474,0.026,0.000,0.588,0.005
87,15.414,28.563,7.735,53.29,2.003,0.386,28.220,7.912,0.2361,0.0838,0.021,0.000,0.589,-0.010
88,15.564,28.666,8.031,56.43,2.012,0.340,28.365,8.190,0.2565,0.0845,0.021,0.000,0.589,-0.021
89,15.763,28.784,8.431,60.37,2.004,0.279,28.572,8.613,0.2514,0.2116,0.032,0.000,0.588,0.024
90,15.912,28.848,8.738,63.58,2.026,0.210,28.639,8.756,0.2400,0.2615,0.037,0.000,0.588,0.004
91,16.113,28.912,9.159,67.73,2.078,0.089,28.828,9.187,0.2039,0.3881,0.049,0.000,0.589,-0.020
92,16.261,28.946,9.484,70.79,2.151,0.006,28.947,9.478,0.1541,0.4420,0.054,0.000,0.589,-0.009
93,16.462,28.989,9.937,74.23,2.303,0.125,29.113,9.919,0.1295,0.4866,0.059,0.000,0.590,-0.006
94,16.614,29.024,10.295,76.30,2.418,0.208,29.217,10.216,0.0986,0.3948,0.051,0.000,0.589,0.010
95,16.814,29.070,10.797,78.66,2.567,0.318,29.360,10.665,0.0762,0.2483,0.038,0.000,0.589,-0.021
96,16.964,29.103,11.186,80.10,2.621,0.392,29.489,11.118,0.0423,0.2502,0.039,0.000,0.589,-0.029
97,17.215,29.149,11.712,81.52,2.646,0.475,29.604,11.575,0.0112,0.1935,0.034,0.000,0.589,-0.004
98,17.364,29.202,12.242,82.37,2.674,0.535,29.734,12.189,0.0031,0.1903,0.034,0.000,0.590,-0.003
99,17.564,29.265,12.770,82.58,2.664,0.562,29.815,12.653,-0.0196,0.0861,0.025,0.000,0.590,-0.017
100,17.713,29.317,13.166,82.61,2.650,0.567,29.882,13.120,-0.0484,0.0051,0.018,0.000,0.590,-0.004
101,17.915,29.397,13.681,82.16,2.563,0.544,29.933,13.588,-0.0378,-0.0748,0.011,0.000,0.590,-0.005
102,18.064,29.467,14.054,81.54,2.484,0.503,29.970,14.058,-0.0179,-0.0027,0.017,0.000,0.590,-0.014
103,18.262,29.558,14.532,80.91,2.397,0.435,29.993,14.529,0.0184,-0.0017,0.017,0.000,0.588,-0.000
104,18.414,29.620,14.882,80.70,2.343,0.381,29.999,14.843,0.0023,0.1727,0.033,0.000,0.588,0.015
105,18.614,29.689,15.343,80.91,2.338,0.309,29.997,15.314,0.0259,0.0883,0.026,0.000,0.589,0.028
106,18.763,29.743,15.690,80.94,2.335,0.252,29.987,15.628,0.0314,0.1929,0.035,0.000,0.590,-0.027
107,18.963,29.804,16.155,81.32,2.363,0.165,29.960,16.099,0.0698,-0.1322,0.006,0.000,0.589,0.012
108,19.114,29.844,16.508,81.78,2.335,0.095,29.918,16.568,0.0791,-0.0885,0.010,0.000,0.589,0.012
109,19.313,29.877,16.961,82.78,2.208,0.076,29.861,17.036,0.1227,-0.1961,0.000,0.000,0.587,-0.013
110,19.462,29.888,17.287,83.78,2.121,0.094,29.815,17.347,0.1382,-0.1271,0.006,0.000,0.587,-0.041
111,19.665,29.879,17.700,85.52,2.007,0.124,29.763,17.656,0.1545,0.0504,0.022,0.000,0.585,0.000
112,19.818,29.856,18.001,87.08,1.984,0.156,29.704,17.965,0.1661,0.1001,0.026,0.000,0.586,0.005
113,20.013,29.801,18.400,89.51,1.990,0.199,29.604,18.425,0.1767,0.1646,0.032,0.000,0.586,-0.028
114,20.163,29.744,18.698,91.50,1.995,0.214,29.567,18.578,0.1923,0.1769,0.034,0.000,0.586,0.019
115,20.364,29.644,19.099,94.39,2.044,0.207,29.447,19.034,0.1987,0.1933,0.035,0.000,0.586,-0.016
116,20.513,29.548,19.400,96.80,2.083,0.200,29.360,19.335,0.1979,0.3062,0.045,0.000,0.587,-0.007
117,20.711,29.395,19.806,100.16,2.161,0.180,29.217,19.784,0.1851,0.2797,0.044,0.000,0.587,0.019
118,20.862,29.260,20.117,102.72,2.249,0.151,29.113,20.081,0.1769,0.3107,0.047,0.000,0.588,0.032
119,21.062,29.059,20.539,106.02,2.353,0.113,28.947,20.522,0.1682,0.3043,0.046,0.000,0.588,0.020
120,21.216,28.888,20.862,108.49,2.424,0.077,28.828,20.813,0.1724,0.3342,0.049,0.000,0.588,0.023
121,21.413,28.633,21.295,111.80,2.537,0.051,28.639,21.244,0.1620,0.2330,0.041,0.000,0.587,0.026
122,21.563,28.417,21.621,114.40,2.581,0.052,28.436,21.670,0.1491,0.0351,0.024,0.000,0.587,-0.032
123,21.764,28.111,22.050,117.62,2.582,0.115,28.220,22.088,0.1425,-0.0208,0.019,0.000,0.586,-0.024
124,21.913,27.874,22.357,119.86,2.536,0.184,27.990,22.500,0.1364,0.0598,0.026,0.000,0.585,0.028
125,22.112,27.551,22.746,122.62,2.466,0.253,27.748,22.904,0.1046,0.0362,0.024,0.000,0.585,0.017
126,22.265,27.304,23.025,124.55,2.459,0.312,27.580,23.170,0.0584,0.0078,0.021,0.000,0.586,-0.009
127,22.462,26.981,23.390,126.39,2.387,0.377,27.317,23.561,0.0462,0.1324,0.032,0.000,0.588,-0.016
128,22.613,26.751,23.662,127.16,2.362,0.405,27.042,23.943,0.0501,0.2413,0.042,0.000,0.588,-0.006
129,22.865,26.441,24.026,128.04,2.424,0.429,26.755,24.317,0.0479,0.2143,0.040,0.000,0.589,0.009
130,23.014,26.114,24.394,128.99,2.486,0.448,26.457,24.682,0.0165,0.1099,0.031,0.000,0.590,0.002
131,23.214,25.778,24.768,129.78,2.496,0.456,26.147,25.037,0.0081,0.1136,0.032,0.000,0.590,-0.005
132,23.363,25.532,25.052,129.98,2.496,0.442,25.826,25.382,-0.0107,0.2829,0.047,0.000,0.590,-0.002
133,23.563,25.208,25.436,130.03,2.536,0.401,25.495,25.717,0.0127,0.2680,0.046,0.000,0.590,0.011
134,23.714,24.962,25.734,129.87,2.599,0.362,25.153,26.041,0.0267,0.1049,0.032,0.000,0.590,-0.004
135,23.914,24.616,26.133,130.15,2.644,0.289,24.801,26.355,0.0868,-0.0718,0.016,0.000,0.589,-0.012
136,24.063,24.350,26.427,130.58,2.618,0.247,24.440,26.657,0.0881,-0.0935,0.014,0.000,0.588,-0.012
137,24.263,23.987,26.795,131.76,2.520,0.174,24.069,26.948,0.1180,-0.1453,0.009,0.000,0.586,-0.019
138,24.413,23.710,27.048,133.03,2.441,0.138,23.817,27.135,0.1150,-0.1577,0.008,0.000,0.586,-0.011
