step,t,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
213,37.563,-3.325,29.692,179.00,1.819,0.309,-3.300,30.000,-0.0285,0.0200,0.017,0.000,0.543,-0.003
214,37.711,-3.593,29.704,178.58,1.726,0.296,-3.600,30.000,-0.0271,0.2214,0.035,0.000,0.540,-0.005
215,37.913,-3.908,29.723,177.98,1.474,0.277,-3.900,30.000,-0.0386,0.1883,0.032,0.000,0.548,0.087
216,38.063,-4.123,29.736,177.56,1.402,0.265,-4.100,30.000,-0.0436,0.3781,0.049,0.000,0.563,0.153
217,38.262,-4.400,29.758,176.95,1.391,0.242,-4.400,30.000,-0.0266,0.4484,0.056,0.000,0.586,0.115
218,38.413,-4.608,29.777,176.46,1.420,0.224,-4.600,30.000,-0.0146,0.5485,0.065,0.000,0.602,0.110
219,38.613,-4.919,29.799,176.05,1.691,0.202,-4.900,30.000,-0.0032,0.6211,0.072,0.000,0.607,-0.001
220,38.762,-5.184,29.821,175.85,1.857,0.180,-5.200,30.000,0.0005,0.5632,0.068,0.000,0.610,0.070
221,38.961,-5.580,29.849,175.77,2.097,0.153,-5.600,30.000,-0.0014,0.5949,0.071,0.000,0.622,0.080
222,39.112,-5.909,29.870,175.72,2.332,0.130,-5.900,30.000,-0.0048,0.5230,0.066,0.000,0.623,-0.096
223,39.313,-6.405,29.909,175.76,2.630,0.091,-6.400,30.000,0.0025,0.3793,0.054,0.000,0.600,-0.123
224,39.463,-6.811,29.941,175.79,2.771,0.060,-6.800,30.000,-0.0004,0.2924,0.046,0.000,0.582,-0.088
225,39.662,-7.374,29.983,175.88,2.871,0.031,-7.400,30.000,0.0243,0.1897,0.038,0.000,0.576,-0.027
226,39.813,-7.808,30.013,175.97,2.903,0.015,-7.800,30.000,0.0440,0.1512,0.034,0.000,0.572,-0.000
227,40.012,-8.387,30.036,176.57,2.890,0.038,-8.400,30.000,0.0539,0.2217,0.041,0.000,0.580,0.049
228,40.162,-8.822,30.040,177.32,2.904,0.045,-8.800,30.000,0.0456,0.1360,0.034,0.000,0.587,0.015
229,40.363,-9.406,30.030,178.49,2.918,0.031,-9.400,30.000,0.0590,-0.0778,0.015,0.000,0.589,0.022
230,40.511,-9.842,30.017,179.28,2.877,0.045,-9.800,30.000,0.0641,-0.2322,0.001,0.000,0.589,-0.013
231,40.715,-10.404,29.982,-179.39,2.724,0.018,-10.400,30.000,0.0473,-0.2875,0.000,0.004,0.587,-0.004
232,40.863,-10.801,29.949,-178.40,2.577,0.051,-10.800,30.000,-0.0031,-0.2174,0.002,0.000,0.587,0.013
233,41.062,-11.294,29.912,-177.64,2.358,0.089,-11.300,30.000,-0.0075,-0.1556,0.007,0.000,0.589,0.025
234,41.213,-11.638,29.898,-177.69,2.232,0.109,-11.600,30.000,-0.0006,0.0810,0.028,0.000,0.589,0.015
235,41.411,-12.075,29.883,-177.78,2.177,0.120,-12.100,30.000,0.0122,-0.0903,0.013,0.000,0.589,0.010
236,41.561,-12.401,29.869,-177.77,2.156,0.131,-12.400,30.000,-0.0182,-0.0754,0.014,0.000,0.590,0.005
237,41.761,-12.822,29.850,-177.65,2.047,0.152,-12.800,30.000,-0.0154,-0.1671,0.006,0.000,0.590,0.010
238,41.913,-13.125,29.842,-177.85,1.996,0.160,-13.100,30.000,-0.0471,-0.0751,0.014,0.000,0.590,-0.022
239,42.112,-13.519,29.837,-178.14,1.950,0.164,-13.500,30.000,-0.0387,0.2131,0.039,0.000,0.590,-0.004
240,42.261,-13.811,29.840,-178.61,1.964,0.160,-13.800,30.000,-0.0431,0.4378,0.059,0.000,0.591,0.020
241,42.462,-14.217,29.850,-179.26,2.110,0.151,-14.200,30.000,-0.0282,0.4692,0.063,0.000,0.592,0.015
242,42.611,-14.545,29.861,-179.79,2.263,0.146,-14.500,30.000,-0.0303,0.3942,0.056,0.000,0.593,-0.011
243,42.812,-15.018,29.877,179.67,2.443,0.125,-15.000,30.000,-0.0126,0.4356,0.061,0.000,0.593,0.000
244,42.962,-15.393,29.891,179.25,2.564,0.128,-15.471,29.993,-0.0015,0.3482,0.053,0.000,0.592,-0.002
245,43.162,-15.922,29.903,179.06,2.704,0.071,-15.942,29.970,0.0218,0.2315,0.044,0.000,0.591,-0.006
246,43.312,-16.333,29.908,179.07,2.767,0.082,-16.412,29.933,0.0604,0.1242,0.034,0.000,0.590,-0.023
247,43.515,-16.894,29.900,179.60,2.824,0.023,-16.880,29.882,0.0944,0.0587,0.029,0.000,0.589,-0.001
248,43.664,-17.316,29.878,-179.59,2.821,0.069,-17.347,29.815,0.1248,-0.1854,0.007,0.000,0.588,0.000
249,43.863,-17.872,29.819,-177.83,2.721,0.104,-17.811,29.734,0.1440,-0.2861,0.000,0.002,0.587,0.008
250,44.013,-18.268,29.752,-176.11,2.594,0.113,-18.272,29.639,0.1617,-0.2998,0.000,0.004,0.585,0.021
251,44.214,-18.757,29.634,-173.41,2.392,0.109,-18.730,29.529,0.1807,-0.2355,0.002,0.000,0.584,0.004
252,44.362,-19.092,29.528,-171.21,2.238,0.100,-19.034,29.447,0.1734,-0.1325,0.010,0.000,0.584,-0.011
253,44.563,-19.503,29.369,-168.16,2.103,0.058,-19.486,29.314,0.1535,-0.1996,0.004,0.000,0.584,0.016
254,44.714,-19.793,29.244,-166.05,2.047,0.029,-19.784,29.217,0.1356,-0.1131,0.012,0.000,0.585,0.035
255,44.912,-20.167,29.076,-163.71,2.007,0.064,-20.229,29.059,0.1486,-0.0304,0.019,0.000,0.586,-0.006
256,45.063,-20.441,28.946,-162.13,1.998,0.081,-20.522,28.947,0.1320,0.1172,0.032,0.000,0.586,0.012
257,45.262,-20.801,28.757,-159.87,2.025,0.072,-20.813,28.828,0.1337,0.1895,0.039,0.000,0.587,0.005
258,45.415,-21.072,28.607,-158.30,2.068,0.101,-21.101,28.703,0.1021,0.2610,0.045,0.000,0.587,0.021
259,45.614,-21.440,28.391,-156.24,2.166,0.144,-21.528,28.505,0.1133,0.2806,0.047,0.000,0.589,-0.001
260,45.763,-21.727,28.220,-154.93,2.256,0.167,-21.810,28.365,0.1066,0.3698,0.056,0.000,0.588,0.030
261,45.962,-22.121,27.967,-152.93,2.399,0.207,-22.226,28.145,0.0982,0.3276,0.052,0.000,0.588,0.007
262,46.114,-22.427,27.759,-151.43,2.516,0.243,-22.500,27.990,0.0812,0.3514,0.055,0.000,0.588,0.009
263,46.314,-22.849,27.462,-149.58,2.640,0.277,-23.037,27.665,0.0607,0.1949,0.041,0.000,0.589,-0.004
264,46.463,-23.175,27.227,-148.35,2.704,0.295,-23.301,27.494,0.0549,0.1783,0.040,0.000,0.589,-0.018
265,46.662,-23.616,26.908,-147.09,2.735,0.303,-23.817,27.135,0.0414,0.1881,0.041,0.000,0.589,-0.036
266,46.816,-23.948,26.662,-146.24,2.773,0.310,-24.069,26.948,0.0579,0.0630,0.030,0.000,0.589,0.023
267,47.013,-24.391,26.328,-145.30,2.775,0.286,-24.561,26.558,0.0404,0.0250,0.027,0.000,0.589,-0.002
268,47.162,-24.717,26.070,-144.38,2.746,0.272,-24.920,26.252,0.0682,-0.0388,0.021,0.000,0.589,0.022
269,47.362,-25.142,25.727,-143.43,2.698,0.243,-25.268,25.935,0.0837,-0.0490,0.020,0.000,0.588,0.002
270,47.512,-25.446,25.464,-142.41,2.655,0.215,-25.607,25.607,0.1091,-0.1393,0.012,0.000,0.587,-0.002
271,47.713,-25.825,25.101,-140.65,2.547,0.200,-25.935,25.268,0.1122,-0.2769,0.000,0.000,0.587,-0.024
272,47.862,-26.086,24.825,-139.05,2.452,0.191,-26.252,24.920,0.1244,-0.1048,0.015,0.000,0.586,-0.015
273,48.062,-26.398,24.464,-136.90,2.306,0.187,-26.558,24.561,0.1197,-0.0236,0.022,0.000,0.585,-0.052
274,48.213,-26.613,24.195,-135.22,2.255,0.188,-26.755,24.317,0.1207,0.0847,0.032,0.000,0.586,-0.004
275,48.412,-26.885,23.832,-133.11,2.248,0.193,-27.042,23.943,0.1348,-0.0465,0.020,0.000,0.587,0.019
276,48.562,-27.080,23.552,-131.50,2.245,0.201,-27.227,23.689,0.1438,0.0621,0.030,0.000,0.587,0.024
277,48.762,-27.318,23.171,-129.11,2.229,0.218,-27.494,23.301,0.1592,0.1208,0.035,0.000,0.586,-0.000
278,48.912,-27.484,22.876,-127.20,2.236,0.243,-27.665,23.037,0.1400,0.1908,0.041,0.000,0.586,-0.034
279,49.111,-27.689,22.465,-124.48,2.296,0.280,-27.911,22.636,0.1145,0.0995,0.033,0.000,0.587,-0.011
280,49.264,-27.840,22.146,-122.62,2.346,0.315,-28.145,22.226,0.0947,0.0687,0.031,0.000,0.588,-0.003
281,49.461,-28.040,21.717,-120.64,2.345,0.338,-28.365,21.810,0.1048,0.1031,0.034,0.000,0.588,0.007
282,49.613,-28.186,21.393,-119.35,2.365,0.347,-28.505,21.528,0.0848,0.1128,0.035,0.000,0.587,0.022
283,49.813,-28.369,20.950,-117.50,2.393,0.367,-28.703,21.101,0.1128,0.2211,0.045,0.000,0.588,0.043
284,49.964,-28.502,20.612,-116.31,2.437,0.382,-28.828,20.813,0.0847,0.2547,0.048,0.000,0.588,0.015
285,50.163,-28.669,20.142,-114.41,2.538,0.400,-29.059,20.229,0.0720,0.2471,0.048,0.000,0.588,0.024
286,50.314,-28.794,19.776,-113.19,2.593,0.404,-29.166,19.933,0.0662,0.1310,0.038,0.000,0.589,0.011
287,50.515,-28.959,19.275,-111.76,2.644,0.406,-29.360,19.335,0.0914,0.0216,0.028,0.000,0.589,-0.015
288,50.663,-29.076,18.892,-110.71,2.643,0.398,-29.447,19.034,0.0764,0.1677,0.041,0.000,0.588,-0.021
289,50.862,-29.215,18.377,-109.02,2.671,0.392,-29.604,18.425,0.0807,0.0888,0.034,0.000,0.588,0.014
290,51.013,-29.311,17.984,-107.82,2.695,0.386,-29.672,18.119,0.0520,-0.0467,0.022,0.000,0.588,0.006
291,51.214,-29.428,17.457,-106.25,2.648,0.364,-29.790,17.502,0.0646,-0.1939,0.009,0.000,0.589,-0.018
292,51.363,-29.514,17.072,-105.45,2.580,0.346,-29.839,17.191,0.0657,-0.3499,0.000,0.005,0.588,-0.025
293,51.564,-29.610,16.578,-104.17,2.416,0.308,-29.918,16.568,0.0700,-0.1000,0.017,0.000,0.587,-0.012
294,51.714,-29.669,16.230,-103.25,2.299,0.280,-29.947,16.255,0.0925,-0.0747,0.019,0.000,0.586,-0.029
295,51.912,-29.733,15.780,-101.96,2.237,0.247,-29.979,15.785,0.1104,0.2238,0.045,0.000,0.587,-0.007
296,52.062,-29.766,15.446,-100.74,2.239,0.228,-29.993,15.471,0.1483,0.2235,0.046,0.000,0.587,0.025
297,52.262,-29.790,14.984,-98.72,2.356,0.211,-30.000,15.000,0.1385,0.2735,0.050,0.000,0.587,0.009
298,52.413,-29.786,14.621,-96.78,2.442,0.221,-29.997,14.686,0.1345,0.0952,0.035,0.000,0.587,-0.010
299,52.612,-29.761,14.120,-94.13,2.499,0.219,-29.970,14.058,0.1242,0.1692,0.042,0.000,0.588,0.016
300,52.763,-29.728,13.741,-92.16,2.532,0.219,-29.947,13.745,0.1259,0.1064,0.036,0.000,0.587,0.033
301,52.962,-29.669,13.229,-89.68,2.569,0.236,-29.901,13.276,0.1468,0.0769,0.034,0.000,0.587,-0.008
302,53.113,-29.608,12.843,-87.75,2.578,0.234,-29.839,12.809,0.1537,0.0082,0.028,0.000,0.587,-0.025
303,53.312,-29.495,12.333,-84.79,2.580,0.268,-29.763,12.344,0.1362,-0.0451,0.023,0.000,0.585,0.008
304,53.462,-29.390,11.958,-82.45,2.551,0.293,-29.672,11.881,0.1203,-0.1185,0.016,0.000,0.586,0.034
305,53.663,-29.243,11.472,-79.88,2.455,0.328,-29.567,11.422,0.1399,0.0222,0.029,0.000,0.586,-0.046
306,53.813,-29.127,11.123,-78.16,2.422,0.356,-29.447,10.966,0.1327,0.0639,0.032,0.000,0.586,-0.025
307,54.012,-28.951,10.667,-75.61,2.416,0.394,-29.314,10.514,0.1380,0.1426,0.040,0.000,0.586,-0.027
308,54.163,-28.804,10.329,-73.72,2.447,0.428,-29.217,10.216,0.1162,-0.0232,0.025,0.000,0.586,-0.039
309,54.363,-28.590,9.881,-71.16,2.448,0.482,-29.059,9.771,0.0862,0.0129,0.028,0.000,0.587,-0.011
310,54.512,-28.426,9.551,-69.57,2.432,0.511,-28.888,9.332,0.0644,0.0239,0.029,0.000,0.587,-0.013
311,54.713,-28.213,9.115,-68.04,2.420,0.536,-28.703,8.899,0.0350,0.2011,0.045,0.000,0.588,-0.031
312,54.863,-28.053,8.788,-67.18,2.437,0.548,-28.572,8.613,0.0534,0.1114,0.037,0.000,0.589,-0.033
313,55.062,-27.838,8.342,-66.45,2.492,0.540,-28.293,8.051,0.0315,0.0814,0.035,0.000,0.590,-0.032
314,55.212,-27.667,8.005,-65.69,2.525,0.531,-28.145,7.774,0.0560,0.0150,0.029,0.000,0.590,-0.006
315,55.413,-27.438,7.555,-64.99,2.523,0.510,-27.830,7.230,0.0387,0.0743,0.034,0.000,0.589,-0.027
316,55.563,-27.257,7.221,-64.21,2.537,0.482,-27.665,6.963,0.0666,0.0720,0.034,0.000,0.589,-0.023
317,55.762,-27.012,6.776,-63.37,2.560,0.446,-27.406,6.569,0.0543,-0.0230,0.026,0.000,0.589,-0.047
318,55.962,-26.815,6.445,-62.45,2.560,0.414,-27.135,6.183,0.0715,0.0142,0.029,0.000,0.588,-0.023
319,56.166,-26.481,5.906,-61.06,2.527,0.354,-26.755,5.683,0.0881,0.1468,0.041,0.000,0.588,-0.022
320,56.314,-26.269,5.590,-59.99,2.538,0.326,-26.558,5.439,0.0829,0.0838,0.035,0.000,0.588,0.003
321,56.513,-25.966,5.172,-58.28,2.577,0.277,-26.147,4.963,0.0987,-0.0684,0.022,0.000,0.588,0.046
322,56.662,-25.729,4.863,-57.02,2.577,0.244,-25.935,4.732,0.1188,-0.2526,0.006,0.000,0.588,0.021
323,56.862,-25.402,4.474,-55.01,2.464,0.213,-25.495,4.283,0.1531,-0.1842,0.011,0.000,0.586,-0.017
324,57.014,-25.153,4.209,-53.30,2.340,0.184,-25.268,4.065,0.1399,-0.2504,0.005,0.000,0.585,-0.012
325,57.213,-24.819,3.891,-50.79,2.215,0.175,-24.920,3.748,0.1430,-0.1065,0.018,0.000,0.585,-0.014
326,57.361,-24.573,3.675,-49.00,2.106,0.171,-24.682,3.543,0.1478,-0.0038,0.027,0.000,0.585,0.018
327,57.562,-24.244,3.409,-46.62,2.084,0.180,-24.317,3.245,0.1687,0.1167,0.037,0.000,0.585,0.002
328,57.712,-23.989,3.221,-44.79,2.099,0.186,-24.069,3.052,0.1468,0.1982,0.045,0.000,0.586,-0.013
329,57.912,-23.629,2.979,-42.11,2.192,0.215,-23.689,2.773,0.1589,0.2016,0.045,0.000,0.587,0.030
330,58.061,-23.342,2.800,-40.20,2.268,0.224,-23.431,2.594,0.1373,0.3362,0.057,0.000,0.587,-0.029
331,58.263,-22.932,2.567,-37.40,2.405,0.255,-23.037,2.335,0.1350,0.3178,0.056,0.000,0.588,-0.011
332,58.413,-22.603,2.390,-35.47,2.516,0.277,-22.770,2.170,0.1235,0.4720,0.070,0.000,0.588,-0.062
333,58.613,-22.133,2.157,-32.83,2.694,0.316,-22.226,1.855,0.1152,0.1584,0.043,0.000,0.588,0.017
334,58.764,-21.754,1.984,-30.89,2.804,0.339,-21.949,1.707,0.1104,0.1085,0.039,0.000,0.588,-0.008
335,58.962,-21.232,1.764,-28.40,2.823,0.370,-21.387,1.428,0.1003,-0.1306,0.018,0.000,0.587,0.017
336,59.112,-20.834,1.611,-26.60,2.802,0.397,-20.957,1.234,0.0859,-0.0795,0.022,0.000,0.587,0.001
337,59.313,-20.313,1.424,-24.52,2.713,0.425,-20.522,1.053,0.0850,-0.2366,0.008,0.000,0.587,0.030
338,59.462,-19.929,1.294,-23.16,2.638,0.435,-20.081,0.887,0.0787,-0.0873,0.021,0.000,0.587,0.024
339,59.661,-19.434,1.140,-21.48,2.545,0.453,-19.635,0.734,0.0798,0.0003,0.029,0.000,0.587,-0.019
340,59.812,-19.069,1.034,-20.31,2.524,0.454,-19.185,0.596,0.0777,0.0072,0.029,0.000,0.587,-0.031
341,60.014,-18.581,0.907,-18.74,2.513,0.460,-18.730,0.471,0.0884,0.0498,0.033,0.000,0.588,-0.027
342,60.164,-18.215,0.820,-17.59,2.510,0.462,-18.272,0.361,0.1010,0.0501,0.033,0.000,0.588,-0.024
343,60.363,-17.718,0.722,-15.80,2.521,0.465,-17.811,0.266,0.1079,0.1547,0.043,0.000,0.587,0.010
344,60.519,-17.341,0.663,-14.27,2.547,0.478,-17.347,0.185,0.1073,0.0176,0.031,0.000,0.587,0.026
345,60.713,-16.827,0.603,-12.10,2.573,0.487,-16.880,0.118,0.0716,-0.1659,0.014,0.000,0.589,0.010
346,60.862,-16.443,0.569,-10.52,2.516,0.503,-16.568,0.082,0.0363,-0.2522,0.006,0.000,0.593,0.007
347,61.064,-15.954,0.519,-9.25,2.362,0.490,-15.942,0.030,0.0643,-0.2721,0.004,0.000,0.597,-0.036
348,61.213,-15.610,0.479,-8.77,2.253,0.466,-15.628,0.013,0.0540,-0.2322,0.008,0.000,0.593,-0.043
349,61.414,-15.177,0.440,-7.83,2.101,0.439,-15.157,0.001,0.0778,-0.1827,0.012,0.000,0.587,-0.012
350,61.563,-14.865,0.418,-7.13,2.067,0.420,-14.900,0.000,0.0642,-0.1319,0.016,0.000,0.578,-0.105
351,61.762,-14.453,0.399,-6.03,2.053,0.402,-14.500,0.000,0.0605,-0.2530,0.005,0.000,0.554,-0.132
352,61.913,-14.147,0.390,-5.25,1.984,0.393,-14.100,0.000,0.0471,-0.1415,0.015,0.000,0.542,0.008
353,62.113,-13.767,0.374,-4.52,1.821,0.375,-13.800,0.000,0.0285,-0.1418,0.014,0.000,0.573,0.222
354,62.262,-13.500,0.364,-4.13,1.747,0.364,-13.500,0.000,0.0259,-0.1579,0.013,0.000,0.599,0.160
355,62.463,-13.159,0.349,-3.80,1.657,0.351,-13.200,0.000,0.0575,-0.1558,0.013,0.000,0.625,0.118
356,62.613,-12.916,0.336,-3.58,1.594,0.337,-12.900,0.000,0.0591,-0.3249,0.000,0.002,0.649,0.134
357,62.811,-12.599,0.333,-2.95,1.575,0.333,-12.600,0.000,0.0472,-0.2670,0.002,0.000,0.673,0.119
358,62.962,-12.363,0.337,-2.39,1.563,0.339,-12.400,0.000,0.0447,-0.2677,0.002,0.000,0.694,0.163
359,63.162,-12.036,0.341,-1.87,1.726,0.343,-12.000,0.000,0.0629,-0.1216,0.015,0.000,0.710,-0.054
360,63.312,-11.764,0.349,-1.31,1.899,0.351,-11.800,0.000,0.0679,-0.2046,0.007,0.000,0.671,-0.346
361,63.514,-11.371,0.372,-0.05,1.988,0.373,-11.400,0.000,0.0592,-0.3026,0.000,0.002,0.623,-0.279
362,63.662,-11.105,0.406,1.04,1.557,0.406,-11.100,0.000,0.0278,-0.3507,0.000,0.007,0.633,0.281
363,63.862,-10.848,0.423,2.63,1.119,0.426,-10.800,0.000,0.0341,-0.2522,0.002,0.000,0.651,-0.132
364,64.013,-10.687,0.438,3.06,1.025,0.438,-10.700,0.000,0.0304,-0.1034,0.015,0.000,0.647,-0.055
365,64.213,-10.500,0.455,3.48,0.829,0.455,-10.500,0.000,0.0195,0.1591,0.038,0.000,0.639,-0.010
366,64.362,-10.394,0.463,3.83,0.659,0.463,-10.400,0.000,0.0129,0.2968,0.050,0.000,0.627,-0.165
367,64.561,-10.262,0.483,3.73,0.675,0.484,-10.300,0.000,0.0223,0.5082,0.069,0.000,0.608,-0.012
368,64.712,-10.161,0.492,3.54,0.579,0.493,-10.200,0.000,0.0141,0.7466,0.091,0.000,0.611,0.127
369,64.912,-10.061,0.499,3.64,0.435,0.501,-10.100,0.000,0.0108,0.9248,0.108,0.000,0.635,0.064
370,65.062,-10.004,0.504,3.65,0.381,0.504,-10.000,0.000,-0.0087,0.9859,0.114,0.000,0.643,0.003
371,65.262,-9.921,0.511,3.69,0.483,0.511,-9.900,0.000,-0.0028,1.0811,0.124,0.000,0.643,-0.005
372,65.412,-9.842,0.515,3.51,0.566,0.517,-9.800,0.000,-0.0140,1.0902,0.126,0.000,0.643,0.037
373,65.612,-9.715,0.526,3.31,0.696,0.527,-9.700,0.000,0.0020,1.0348,0.123,0.000,0.656,0.122
374,65.762,-9.603,0.534,3.03,0.806,0.534,-9.600,0.000,-0.0012,0.9668,0.118,0.000,0.671,0.030
375,65.963,-9.423,0.550,2.78,1.024,0.551,-9.400,0.000,0.0173,1.0977,0.131,0.000,0.693,0.094
376,66.111,-9.251,0.558,2.69,1.295,0.561,-9.300,0.000,0.0160,1.0945,0.132,0.000,0.703,-0.005
377,66.313,-8.935,0.577,2.83,1.886,0.578,-8.900,0.000,-0.0081,1.0196,0.127,0.000,0.690,-0.073
378,66.461,-8.618,0.598,2.93,2.327,0.598,-8.600,0.000,-0.0297,0.7234,0.102,0.000,0.682,-0.029
379,66.662,-8.117,0.619,2.66,2.655,0.619,-8.100,0.000,-0.0704,0.5209,0.085,0.000,0.675,-0.139
380,66.813,-7.702,0.622,2.17,2.885,0.622,-7.700,0.000,-0.0786,0.1396,0.051,0.000,0.633,-0.396
381,67.012,-7.103,0.601,0.86,2.936,0.601,-7.100,0.000,-0.0870,0.1222,0.050,0.000,0.558,-0.046
382,67.161,-6.676,0.571,-0.58,2.842,0.571,-6.700,0.000,-0.1025,-0.1461,0.026,0.000,0.583,0.222
383,67.362,-6.114,0.503,-2.61,2.797,0.503,-6.100,0.000,-0.1111,-0.0952,0.031,0.000,0.614,0.068
384,67.513,-5.704,0.432,-4.38,2.716,0.432,-5.700,0.000,-0.1118,-0.3639,0.007,0.000,0.625,0.099
385,67.712,-5.179,0.316,-6.87,2.646,0.317,-5.200,0.000,-0.0758,-0.3903,0.004,0.000,0.641,-0.063
